Creditability,Balance of current account,Duration in months,Payment of previous credits,Purpose of credit,Amount of credit in DM,Value of savings or stocks,Has been employed by current employer for,Installment in % of available income,Marital Status/Sex,Further debtors/Guarantors,Living in current household for,Most valuable available assets,Age in years,Further running credits,Type of apartment,Number of previous credits at this bank,Occupation,Number of persons entitled to maintainance,Telephone,Foreign worker,NewVar
bad,no balance,36,no problems with current credits at this bank,retraining,4455,no savings,between 1 and 4 years,between 25 and 35,male:divorced/living apart,none,between 1 and 4 years,no assets,30,at department store or mail order house,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,2.003039608
good,>=200 DM,6,no problems with current credits at this bank,retraining,1743,less than 100 DM,between 1 and 4 years,greater than 35,male:single,none,between 1 and 4 years,no assets,34,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.990002442
good,no running account,12,no previous credits or paid back,other,1893,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,guarantor,greater than 7 years,car/other,29,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.989741608
good,>=200 DM,42,no previous credits or paid back,items of furniture,7166,greater than 1000 DM,between 4 and 7 years,between 25 and 35,male:married/widowed,none,greater than 7 years,car/other,29,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.939072934
good,no running account,48,no previous credits or paid back,new car,4788,no savings,between 4 and 7 years,less than 20,male:single,none,between 4 and 7 years,car/other,26,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,1.935472461
bad,no balance,24,problematic running accounts,repair,1837,no savings,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,34,at other banks,owner,one,unskilled with permanant residence,3 and more,no,yes,1.919844049
good,no balance,24,paid back previous credits at this bank,other,3878,less than 100 DM,less than 1 year,less than 20,male:divorced/living apart,none,between 1 and 4 years,savings contract with a building society/Life insurance,37,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.90445371
good,no balance,48,no previous credits or paid back,business,5381,greater than 1000 DM,unemployed,between 20 and 25,male:single,none,greater than 7 years,ownership of house or land,40,at other banks,owner,one,unemployed/unskilled with no permaant residence,3 and more,yes,yes,1.862639217
good,<= 200 DM,12,no previous credits or paid back,items of furniture,3399,greater than 1000 DM,greater than 7 years,between 25 and 35,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,37,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,no,yes,1.861499691
good,>=200 DM,24,paid back previous credits at this bank,used car,2028,no savings,between 4 and 7 years,between 25 and 35,male:single,none,between 1 and 4 years,car/other,30,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.835365683
good,no running account,18,paid back previous credits at this bank,other,5302,no savings,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,36,no further running credits,owner,4 or 5,executive/self-employed/higher civil servant,3 and more,yes,yes,1.827655563
good,>=200 DM,12,no previous credits or paid back,other,1884,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,39,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.807159778
bad,>=200 DM,10,no previous credits or paid back,other,1309,greater than 1000 DM,between 1 and 4 years,less than 20,male:single,guarantor,greater than 7 years,car/other,27,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,1.805421651
good,no balance,48,no problems with current credits at this bank,business,7582,less than 100 DM,unemployed,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,31,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.792490937
bad,no balance,24,no problems with current credits at this bank,used car,2064,no savings,unemployed,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,car/other,34,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.789624867
good,>=200 DM,33,paid back previous credits at this bank,new car,7253,no savings,between 4 and 7 years,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,35,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,1.740833536
good,no balance,12,no previous credits or paid back,items of furniture,1567,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,22,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.734957927
good,no balance,12,no previous credits or paid back,items of furniture,1155,no savings,greater than 7 years,between 20 and 25,male:married/widowed,guarantor,between 4 and 7 years,no assets,40,at other banks,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.730077895
bad,>=200 DM,36,paid back previous credits at this bank,other,7855,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,no assets,25,at department store or mail order house,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.723626578
good,no running account,12,no previous credits or paid back,used car,1289,no savings,between 1 and 4 years,less than 20,male:single,guarantor,less than 1 year,car/other,21,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,1.716806259
good,no running account,6,paid back previous credits at this bank,items of furniture,1169,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,67,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.708431768
bad,no balance,30,paid back previous credits at this bank,other,4249,no savings,unemployed,less than 20,male:married/widowed,none,between 1 and 4 years,savings contract with a building society/Life insurance,28,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,no,yes,1.690730467
good,>=200 DM,24,no previous credits or paid back,other,7393,no savings,between 1 and 4 years,greater than 35,male:single,none,greater than 7 years,car/other,43,no further running credits,rented,one,unskilled with permanant residence,0 to 2,no,yes,1.677855694
bad,no running account,16,paid back previous credits at this bank,other,2625,no savings,greater than 7 years,between 25 and 35,male:single,guarantor,greater than 7 years,car/other,43,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,no,1.675467498
bad,no running account,12,no previous credits or paid back,radio/television,741,less than 100 DM,unemployed,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,car/other,22,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.665572223
good,>=200 DM,9,paid back previous credits at this bank,other,2134,no savings,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,48,no further running credits,rented,4 or 5,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.661104698
bad,>=200 DM,27,no previous credits or paid back,other,2570,no savings,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,between 4 and 7 years,no assets,21,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.643779389
good,>=200 DM,6,paid back previous credits at this bank,items of furniture,1382,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,less than 1 year,savings contract with a building society/Life insurance,28,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.638739747
bad,no running account,42,no previous credits or paid back,items of furniture,3965,no savings,less than 1 year,less than 20,male:single,none,between 4 and 7 years,savings contract with a building society/Life insurance,34,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.628647926
good,<= 200 DM,12,no previous credits or paid back,items of furniture,1881,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,44,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,yes,yes,1.627703869
good,no balance,9,no previous credits or paid back,items of furniture,2118,no savings,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,no assets,37,no further running credits,rented,one,unskilled with permanant residence,0 to 2,no,yes,1.626276664
good,>=200 DM,15,no problems with current credits at this bank,items of furniture,1478,no savings,between 1 and 4 years,less than 20,male:married/widowed,none,between 4 and 7 years,no assets,33,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.612349032
good,>=200 DM,24,no previous credits or paid back,new car,2670,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,35,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.605572663
good,no balance,12,no previous credits or paid back,retraining,841,less than 100 DM,between 4 and 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,no assets,23,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,1.591957487
good,>=200 DM,15,no previous credits or paid back,other,5324,between 100 and 500 DM,greater than 7 years,greater than 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,35,no further running credits,owner,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.590797166
good,no running account,27,no previous credits or paid back,items of furniture,3416,no savings,between 1 and 4 years,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,27,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,no,yes,1.587768489
good,no balance,10,no previous credits or paid back,used car,1521,no savings,between 1 and 4 years,less than 20,male:divorced/living apart,none,between 1 and 4 years,savings contract with a building society/Life insurance,31,no further running credits,rented,one,unskilled with permanant residence,3 and more,no,yes,1.583397054
bad,no running account,18,no previous credits or paid back,other,1216,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,savings contract with a building society/Life insurance,23,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.580734544
good,<= 200 DM,24,paid back previous credits at this bank,items of furniture,3148,greater than 1000 DM,between 1 and 4 years,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,31,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.576958208
bad,no balance,24,no previous credits or paid back,new car,4113,between 100 and 500 DM,less than 1 year,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,28,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.574825851
good,>=200 DM,24,no previous credits or paid back,other,1249,no savings,less than 1 year,less than 20,male:married/widowed,none,between 1 and 4 years,no assets,28,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.557538912
good,>=200 DM,6,no previous credits or paid back,used car,2978,between 100 and 500 DM,between 1 and 4 years,greater than 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,32,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.552830745
bad,>=200 DM,12,paid back previous credits at this bank,retraining,2292,no savings,unemployed,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,42,at department store or mail order house,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,1.546306428
good,>=200 DM,12,paid back previous credits at this bank,retraining,1264,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,57,no further running credits,free apartment,one,unskilled with permanant residence,3 and more,no,yes,1.512495977
good,>=200 DM,18,paid back previous credits at this bank,used car,3780,no savings,less than 1 year,between 20 and 25,male:divorced/living apart,none,between 1 and 4 years,savings contract with a building society/Life insurance,35,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,1.503646518
good,>=200 DM,15,no previous credits or paid back,other,3186,between 500 and 1000 DM,between 4 and 7 years,between 25 and 35,female:divorced/living apart/married,none,between 4 and 7 years,savings contract with a building society/Life insurance,20,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.484647991
good,>=200 DM,60,no previous credits or paid back,other,10366,no savings,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,car/other,42,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.471544919
good,>=200 DM,18,paid back previous credits at this bank,items of furniture,6070,no savings,greater than 7 years,between 20 and 25,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,33,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.471306336
good,>=200 DM,24,paid back previous credits at this bank,new car,5804,between 500 and 1000 DM,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,no assets,27,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.461742504
good,no running account,24,no previous credits or paid back,used car,7721,greater than 1000 DM,less than 1 year,greater than 35,female:divorced/living apart/married,none,between 1 and 4 years,car/other,30,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,no,1.451375515
good,>=200 DM,6,paid back previous credits at this bank,other,250,between 500 and 1000 DM,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,between 1 and 4 years,no assets,41,at other banks,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.446338383
good,>=200 DM,6,no previous credits or paid back,used car,1543,between 500 and 1000 DM,between 1 and 4 years,less than 20,male:divorced/living apart,none,between 1 and 4 years,no assets,33,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.437310625
good,no balance,11,no previous credits or paid back,used car,1577,between 500 and 1000 DM,less than 1 year,less than 20,female:divorced/living apart/married,none,less than 1 year,no assets,20,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.421633368
good,no balance,15,paid back previous credits at this bank,items of furniture,2728,greater than 1000 DM,between 4 and 7 years,less than 20,male:single,guarantor,between 1 and 4 years,no assets,35,at other banks,rented,4 or 5,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.413087973
good,>=200 DM,24,no problems with current credits at this bank,other,717,greater than 1000 DM,greater than 7 years,less than 20,male:married/widowed,none,greater than 7 years,savings contract with a building society/Life insurance,54,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.410074084
good,no running account,6,paid back previous credits at this bank,other,860,no savings,greater than 7 years,greater than 35,female:divorced/living apart/married,none,greater than 7 years,ownership of house or land,39,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.402559935
bad,>=200 DM,18,no previous credits or paid back,household appliances,1943,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,greater than 7 years,no assets,23,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.402492031
bad,no running account,36,no previous credits or paid back,other,9271,no savings,between 4 and 7 years,between 25 and 35,male:single,none,less than 1 year,savings contract with a building society/Life insurance,24,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.391595241
good,>=200 DM,15,paid back previous credits at this bank,items of furniture,1316,between 100 and 500 DM,between 1 and 4 years,between 25 and 35,male:married/widowed,none,between 1 and 4 years,car/other,47,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.378564863
good,>=200 DM,24,no previous credits or paid back,new car,3488,less than 100 DM,between 4 and 7 years,between 20 and 25,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,23,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.378472483
bad,no running account,21,no previous credits or paid back,items of furniture,1835,no savings,between 1 and 4 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,no assets,25,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.377305602
good,no running account,18,hesistant payment of previous credits,retraining,3104,no savings,between 4 and 7 years,between 20 and 25,male:single,none,less than 1 year,car/other,31,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.376878437
bad,no balance,12,no previous credits or paid back,other,836,less than 100 DM,less than 1 year,less than 20,female:divorced/living apart/married,none,between 1 and 4 years,car/other,23,at other banks,rented,one,unskilled with permanant residence,3 and more,no,yes,1.372397374
good,>=200 DM,24,no previous credits or paid back,used car,5511,less than 100 DM,between 1 and 4 years,less than 20,male:single,none,less than 1 year,savings contract with a building society/Life insurance,25,at department store or mail order house,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.370091964
good,<= 200 DM,18,no previous credits or paid back,other,1961,no savings,greater than 7 years,between 20 and 25,female:divorced/living apart/married,none,between 1 and 4 years,savings contract with a building society/Life insurance,23,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,no,yes,1.368077612
good,no balance,10,no previous credits or paid back,other,7308,no savings,unemployed,between 25 and 35,male:single,none,greater than 7 years,ownership of house or land,70,at other banks,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.366331665
good,>=200 DM,24,paid back previous credits at this bank,items of furniture,2424,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,car/other,53,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.364759457
bad,no balance,36,no problems with current credits at this bank,other,2225,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,57,at other banks,owner,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.362344651
good,>=200 DM,6,no previous credits or paid back,items of furniture,1595,no savings,between 4 and 7 years,between 20 and 25,male:single,none,between 1 and 4 years,car/other,51,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,1.359504241
bad,no balance,48,hesistant payment of previous credits,business,18424,no savings,between 1 and 4 years,greater than 35,female:divorced/living apart/married,none,between 1 and 4 years,car/other,32,at other banks,rented,one,executive/self-employed/higher civil servant,3 and more,yes,no,1.349296605
bad,no running account,24,problematic running accounts,used car,6872,no savings,less than 1 year,between 25 and 35,male:divorced/living apart,none,less than 1 year,car/other,55,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.336813608
good,no balance,36,no problems with current credits at this bank,other,7432,no savings,between 1 and 4 years,between 25 and 35,female:divorced/living apart/married,none,between 1 and 4 years,car/other,54,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.328346398
good,>=200 DM,30,paid back previous credits at this bank,new car,7596,greater than 1000 DM,greater than 7 years,greater than 35,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,63,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.326527667
good,no running account,30,no previous credits or paid back,new car,3857,no savings,between 1 and 4 years,less than 20,male:divorced/living apart,none,greater than 7 years,car/other,40,no further running credits,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.32158671
good,<= 200 DM,10,paid back previous credits at this bank,items of furniture,1347,greater than 1000 DM,between 4 and 7 years,less than 20,male:single,none,between 1 and 4 years,car/other,27,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.306439401
good,no balance,30,no previous credits or paid back,items of furniture,2991,greater than 1000 DM,greater than 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,25,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.295014013
good,no balance,36,no previous credits or paid back,repair,3711,greater than 1000 DM,between 1 and 4 years,between 25 and 35,male:married/widowed,none,between 1 and 4 years,savings contract with a building society/Life insurance,27,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.29075984
good,no balance,6,no problems with current credits at this bank,retraining,1449,less than 100 DM,greater than 7 years,greater than 35,male:divorced/living apart,none,between 1 and 4 years,savings contract with a building society/Life insurance,31,at other banks,rented,2 or 3,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,1.285658369
good,no balance,48,problematic running accounts,other,12169,greater than 1000 DM,unemployed,less than 20,male:single,co-applicant,greater than 7 years,ownership of house or land,36,no further running credits,owner,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.281320719
bad,no running account,12,no previous credits or paid back,repair,795,no savings,less than 1 year,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,53,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.270627961
good,>=200 DM,15,no previous credits or paid back,new car,1300,greater than 1000 DM,greater than 7 years,less than 20,male:single,none,greater than 7 years,ownership of house or land,45,at other banks,owner,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,1.267032384
good,>=200 DM,36,no problems with current credits at this bank,new car,8947,greater than 1000 DM,between 4 and 7 years,between 20 and 25,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,31,at department store or mail order house,rented,one,executive/self-employed/higher civil servant,0 to 2,yes,yes,1.257397795
good,>=200 DM,24,paid back previous credits at this bank,items of furniture,2684,no savings,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,no assets,35,no further running credits,rented,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.252975405
good,no running account,21,paid back previous credits at this bank,other,571,no savings,greater than 7 years,less than 20,male:single,none,greater than 7 years,no assets,65,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.249007333
good,<= 200 DM,10,no previous credits or paid back,radio/television,1225,no savings,between 1 and 4 years,between 25 and 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,37,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.246403713
good,no balance,27,no problems with current credits at this bank,new car,5965,no savings,greater than 7 years,greater than 35,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,30,no further running credits,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,1.242021988
good,>=200 DM,12,paid back previous credits at this bank,household appliances,996,greater than 1000 DM,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,no assets,23,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.22913027
good,>=200 DM,24,no previous credits or paid back,items of furniture,1552,no savings,between 4 and 7 years,between 20 and 25,male:single,none,less than 1 year,savings contract with a building society/Life insurance,32,at other banks,rented,one,skilled worker/skilled employee/minor civil servant,0 to 2,no,yes,1.228066841
bad,>=200 DM,30,problematic running accounts,new car,7485,greater than 1000 DM,unemployed,less than 20,female:divorced/living apart/married,none,less than 1 year,no assets,53,at other banks,rented,one,executive/self-employed/higher civil servant,3 and more,yes,yes,1.214251907
good,no running account,12,no previous credits or paid back,used car,652,no savings,greater than 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,24,no further running credits,free apartment,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.212941718
good,no running account,12,paid back previous credits at this bank,items of furniture,385,no savings,between 4 and 7 years,less than 20,female:divorced/living apart/married,none,between 4 and 7 years,no assets,58,no further running credits,rented,6 or more,unskilled with permanant residence,3 and more,yes,yes,1.210416372
good,no balance,12,no previous credits or paid back,items of furniture,1092,no savings,between 1 and 4 years,less than 20,female:divorced/living apart/married,guarantor,greater than 7 years,no assets,49,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.196193555
good,no balance,24,no problems with current credits at this bank,retraining,4712,greater than 1000 DM,between 1 and 4 years,less than 20,male:single,none,between 1 and 4 years,car/other,34,at other banks,rented,2 or 3,executive/self-employed/higher civil servant,3 and more,yes,yes,1.18849232
good,>=200 DM,9,paid back previous credits at this bank,repair,1244,greater than 1000 DM,greater than 7 years,less than 20,female:divorced/living apart/married,none,greater than 7 years,car/other,41,no further running credits,free apartment,2 or 3,unskilled with permanant residence,3 and more,no,yes,1.183504334
good,>=200 DM,6,problematic running accounts,items of furniture,1750,between 100 and 500 DM,greater than 7 years,between 25 and 35,male:single,none,greater than 7 years,car/other,45,at other banks,rented,one,unskilled with permanant residence,0 to 2,no,yes,1.183214841
good,no balance,18,no previous credits or paid back,retraining,2622,less than 100 DM,between 1 and 4 years,less than 20,male:single,none,greater than 7 years,savings contract with a building society/Life insurance,34,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,no,yes,1.180049242
good,>=200 DM,9,paid back previous credits at this bank,repair,936,between 100 and 500 DM,greater than 7 years,less than 20,male:single,none,between 1 and 4 years,savings contract with a building society/Life insurance,52,no further running credits,rented,2 or 3,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.167887273
good,no balance,24,no previous credits or paid back,items of furniture,5084,greater than 1000 DM,greater than 7 years,between 25 and 35,female:divorced/living apart/married,none,greater than 7 years,savings contract with a building society/Life insurance,42,no further running credits,rented,one,skilled worker/skilled employee/minor civil servant,3 and more,yes,yes,1.16128224
