MonthGive,Region,YearsGive,AveDonAmt,LastDonAmt,DonPerYear,NewDonor,Age20t29,Age20t39,Age60pls,Age70pls,Age80pls,AdultAge,SomeUnivP,FinUnivP,hh1t2mem,hh1mem,AveIncEA,DwelValEA,EngPrmLang
Yes,R3,8,20,20,1.125,No,0.065116279,0.153488372,0.153488372,0.088372093,0.013953488,49.43835616,0.48630137,0.287671233,0.420289855,0.086956522,106438,400272,0.933962264
Yes,R2,1,15,10,2,No,0.172413793,0.396551724,0.051724138,0.025862069,0.00862069,39.1835443,0.232394366,0.084507042,0.368421053,0.118421053,60614,212991,0.874458875
Yes,R1,2,15,10,1,No,0.064516129,0.193548387,0.239631336,0.092165899,0.01843318,50.7195122,0.126582279,0.069620253,0.62962963,0.222222222,55693,208362,1
Yes,R2,1,35,35,1,No,0.127272727,0.363636364,0.218181818,0.1,0.027272727,46.84848485,0.64516129,0.462365591,0.838709677,0.419354839,58487,274114,0.801801802
Yes,R2,2,37.5,25,1,No,0.116883117,0.329004329,0.064935065,0.012987013,0.004329004,41.56050955,0.283783784,0.121621622,0.357142857,0.057142857,71089,285572,0.860169492
Yes,R6,3,21.66666667,20,1,No,0.083333333,0.217948718,0.25,0.147435897,0.057692308,51.59649123,0.192982456,0.105263158,0.676056338,0.366197183,37079,141265,0.974358974
Yes,R5,6,32.5,25,0.333333333,No,0.077319588,0.159793814,0.381443299,0.19072165,0.030927835,55.61038961,0.278571429,0.15,0.7125,0.1625,44750,147492,0.969072165
Yes,R2,7,35,35,0.142857143,No,0.112107623,0.224215247,0.156950673,0.076233184,0.022421525,47.19254658,0.48,0.22,0.506666667,0.146666667,63223,365368,0.672727273
Yes,R3,7,22.72727273,25,1.571428571,No,0.126262626,0.313131313,0.146464647,0.070707071,0.005050505,44.94405594,0.417322835,0.212598425,0.446153846,0.107692308,70907,289817,0.842364532
Yes,R3,6,364.2857143,250,1.166666667,No,0.130653266,0.286432161,0.236180905,0.135678392,0.045226131,49.27152318,0.240601504,0.090225564,0.616438356,0.287671233,47912,189108,0.661616162
Yes,R5,9,100,100,0.111111111,No,0.074626866,0.263681592,0.199004975,0.094527363,0.024875622,48.34931507,0.330882353,0.176470588,0.581081081,0.202702703,46479,191399,0.964285714
Yes,R2,11,66.66666667,50,0.272727273,No,0.099415205,0.263157895,0.18128655,0.070175439,0.011695906,47.32539683,0.236363636,0.118181818,0.457627119,0.118644068,49956,165142,0.934911243
Yes,R3,8,37.5,50,0.25,No,0.171532847,0.364963504,0.087591241,0.03649635,0.01459854,41.02645503,0.211111111,0.138888889,0.333333333,0.098765432,55301,196743,0.656934307
Yes,R1,0,25,25,0,Yes,0.10625,0.275,0.10625,0.0375,0,43.82692308,0.242718447,0.126213592,0.431372549,0.137254902,58275,196861,0.87037037
Yes,R5,4,100,100,0.25,No,0.065934066,0.208791209,0.139194139,0.06959707,0.018315018,47.32183908,0.452941177,0.258823529,0.435294118,0.082352941,88329,281709,0.959259259
Yes,R2,11,25,25,0.454545455,No,0.23655914,0.537634409,0.182795699,0.11827957,0.053763441,42.98888889,0.465116279,0.255813954,0.970588235,0.647058824,35143,163267,1
Yes,R3,6,15,20,0.333333333,No,0.128571429,0.317857143,0.096428571,0.028571429,0.010714286,42.42222222,0.285714286,0.12,0.395061728,0.111111111,59936,212575,0.763250883
Yes,R1,10,10,10,0.6,No,0.097435897,0.241025641,0.241025641,0.158974359,0.056410256,50.47945206,0.233576642,0.109489051,0.6,0.186666667,50889,195183,0.989583333
Yes,R1,10,166.6666667,200,0.3,No,0.126213592,0.262135922,0.504854369,0.40776699,0.184466019,57.56435644,0.402061856,0.24742268,0.957746479,0.647887324,42553,167747,0.990476191
Yes,R2,5,30,50,0.4,No,0.061403509,0.105263158,0.657894737,0.50877193,0.210526316,65.46226415,0.551020408,0.346938776,0.901408451,0.535211268,83098,348550,0.885964912
Yes,R4,1,50,50,1,No,0.079365079,0.285714286,0.047619048,0,0,41.75609756,0.325,0.175,0.523809524,0.285714286,45381,147702,0.96875
Yes,R5,6,20,20,0.166666667,No,0.095477387,0.211055276,0.236180905,0.110552764,0.030150754,50.61688312,0.300699301,0.160839161,0.575342466,0.150684932,65716,210482,0.958333333
Yes,R2,1,10,10,2,No,0.103658537,0.292682927,0.182926829,0.073170732,0.012195122,46.528,0.398373984,0.18699187,0.647887324,0.281690141,58302,183008,0.786585366
Yes,R2,1,25,25,2,No,0.376470588,0.611764706,0.211764706,0.129411765,0.035294118,41.04819277,0.51948052,0.272727273,0.931034483,0.637931035,31895,129235,0.850574713
Yes,R5,12,25,25,0.416666667,No,0.122807018,0.274853801,0.263157895,0.116959064,0.029239766,49.47761194,0.175,0.025,0.68115942,0.217391304,35060,137721,0.994117647
Yes,R2,6,23.57142857,25,1.166666667,No,0.029850746,0.059701493,0.71641791,0.492537313,0.134328358,65.76119403,0,0,0.959183674,0.673469388,23067,114182,1
Yes,R2,8,137.5,175,0.25,No,0.23853211,0.559633028,0.110091743,0.055045872,0.027522936,40.28712871,0.550561798,0.280898876,0.971830986,0.492957747,30508,197086,0.888888889
Yes,R5,7,22.5,25,0.285714286,No,0.122807018,0.274853801,0.263157895,0.116959064,0.029239766,49.47761194,0.175,0.025,0.68115942,0.217391304,35060,137721,0.994117647
Yes,R1,8,33.75,50,0.5,No,0.074766355,0.210280374,0.242990654,0.130841122,0.023364486,50.67701863,0.243243243,0.108108108,0.575342466,0.109589041,61867,259800,0.937198068
Yes,R2,13,18.75,5,0.307692308,No,0.146788991,0.348623853,0.146788991,0.082568807,0.018348624,44.2125,0.417721519,0.291139241,0.540540541,0.243243243,65383,270724,0.953271028
Yes,R2,4,65.5,100,1,No,0.113095238,0.25,0.178571429,0.089285714,0.029761905,47.88636364,0.507246377,0.297101449,0.635135135,0.283783784,62806,457870,0.901734104
Yes,R1,6,25,25,0.666666667,No,0.139664805,0.251396648,0.234636872,0.117318436,0.027932961,48.65714286,0.458015267,0.267175573,0.633802817,0.23943662,53797,235321,0.960451977
Yes,R2,5,22.5,20,0.4,No,0.133640553,0.253456221,0.165898618,0.059907834,0.004608295,46.64912281,0.478787879,0.260606061,0.434782609,0.057971015,74888,474606,0.476635514
Yes,R2,2,75,75,0.5,No,0.293103448,0.534482759,0.137931035,0.051724138,0.017241379,39.84313726,0.863636364,0.681818182,0.8,0.433333333,49108,484535,0.964285714
Yes,R1,2,15,10,1,No,0.148148148,0.320987654,0.092592593,0.043209877,0.018518519,41.91176471,0.212962963,0.138888889,0.326923077,0.057692308,43315,174553,0.753012048
Yes,R3,7,36,100,0.714285714,No,0.093617021,0.293617021,0.089361702,0.05106383,0.012765957,43.68831169,0.212765957,0.092198582,0.323529412,0.088235294,64901,266972,0.982905983
Yes,R2,9,23.33333333,25,0.333333333,No,0.104712042,0.314136126,0.193717278,0.130890052,0.041884817,47.3006993,0.37593985,0.218045113,0.507042254,0.183098592,69001,287686,0.963541667
Yes,R2,1,15,15,1,No,0.12244898,0.275510204,0.173469388,0.081632653,0.015306122,46.94230769,0.4,0.259259259,0.626666667,0.186666667,72878,350690,0.964102564
Yes,R3,2,20,20,0.5,No,0.102112676,0.228873239,0.095070423,0.042253521,0.007042254,44.77777778,0.363636364,0.176470588,0.317073171,0.06097561,81203,303097,1
Yes,R2,5,15,15,0.2,No,0.172794118,0.323529412,0.139705882,0.044117647,0.011029412,43.83248731,0.203208556,0.07486631,0.333333333,0.115384615,53624,314738,0.574545455
Yes,R1,3,17.5,10,1.333333333,No,0.158536585,0.31097561,0.31097561,0.182926829,0.054878049,50.08333333,0.315384615,0.138461539,0.865168539,0.438202247,46308,186243,0.957317073
Yes,R2,1,35,35,1,No,0.132075472,0.316037736,0.056603774,0.018867925,0.004716981,40.96527778,0.442176871,0.25170068,0.347826087,0.057971015,70006,367880,0.788018433
Yes,R2,4,27.5,20,0.5,No,0.1875,0.4375,0.1875,0.089285714,0.035714286,44.28712871,0.344444444,0.222222222,0.855072464,0.492753623,40942,196661,0.929824561
Yes,R4,2,137.5,25,1,No,0.09478673,0.28436019,0.037914692,0.004739337,0,41.23357664,0.267175573,0.13740458,0.328125,0.078125,71298,169843,0.990430622
Yes,R5,9,15,15,0.444444444,No,0.083769634,0.204188482,0.282722513,0.183246073,0.120418848,53.82978723,0.194915254,0.101694915,0.628571429,0.3,37564,173438,0.884615385
Yes,R1,3,10,10,1,No,0.104761905,0.285714286,0.138095238,0.057142857,0.00952381,45.50993378,0.177304965,0.078014184,0.5875,0.2,49677,199595,0.995215311
Yes,R1,10,23.75,30,0.4,No,0.071428571,0.228571429,0.257142857,0.057142857,0.014285714,49.64705882,0.28,0.1,0.583333333,0.125,49931,204379,1
Yes,R2,9,25,25,0.111111111,No,0.083798883,0.150837989,0.38547486,0.262569832,0.122905028,57.19727891,0.35971223,0.18705036,0.721518987,0.341772152,58268,278146,0.837078652
Yes,R3,5,17.5,10,0.4,No,0.076190476,0.185714286,0.223809524,0.114285714,0.038095238,50.46451613,0.406896552,0.24137931,0.582278481,0.17721519,68546,337735,0.975728155
Yes,R1,9,32.5,20,0.444444444,No,0.061452514,0.240223464,0.17877095,0.067039106,0.005586592,48.12903226,0.236842105,0.043859649,0.605633803,0.23943662,49784,160800,0.978021978
Yes,R1,8,40,25,0.625,No,0.191082803,0.388535032,0.140127389,0.070063694,0.01910828,42.64705882,0.239316239,0.128205128,0.723684211,0.315789474,30939,181410,0.962732919
Yes,R2,4,55,100,0.5,No,0.105058366,0.295719844,0.038910506,0.015564202,0,41.21686747,0.407407407,0.209876543,0.123076923,0,89182,439464,0.591078067
Yes,R5,4,16.25,25,1,No,0.081447964,0.285067873,0.067873303,0.022624434,0,42.48951049,0.463235294,0.286764706,0.38028169,0.056338028,65856,229123,0.959276018
Yes,R6,2,25,25,0.5,No,0.085714286,0.28,0.16,0.062857143,0.017142857,46.56451613,0.213114754,0.081967213,0.53968254,0.158730159,45580,179360,0.965714286
Yes,R3,3,33.33333333,40,1,No,0.175438597,0.350877193,0.175438597,0.087719298,0.035087719,43.71052632,0,0,0.473684211,0.315789474,34992,173333,0.767857143
Yes,R2,5,12.5,20,0.8,No,0.161016949,0.36440678,0.211864407,0.13559322,0.059322034,46.96938776,0.348314607,0.202247191,0.8125,0.53125,32227,167288,0.559322034
Yes,R2,7,36.42857143,25,1,No,0.093959732,0.261744966,0.241610738,0.134228188,0.046979866,50.11818182,0.164835165,0.076923077,0.671875,0.328125,42848,138946,0.972413793
Yes,R4,8,32.5,15,0.25,No,0.134259259,0.356481482,0.055555556,0.018518519,0.00462963,40.27464789,0.358208955,0.119402985,0.479452055,0.178082192,67552,134751,0.953271028
Yes,R2,3,50,50,0.333333333,No,0.333333333,0.684210526,0.052631579,0.02631579,0.01754386,35.8317757,0.617647059,0.470588235,0.915492958,0.549295775,41688,158957,0.920353982
Yes,R3,2,100,100,0.5,No,0.133858268,0.25984252,0.31496063,0.220472441,0.118110236,53.02020202,0.337078652,0.112359551,0.719298246,0.368421053,49121,240335,0.992
Yes,R1,7,4.5,5,0.285714286,No,0.120218579,0.284153006,0.224043716,0.12568306,0.032786885,48.3381295,0.152,0.04,0.602739726,0.205479452,42880,135596,1
Yes,R1,4,27.5,25,1,No,0.103305785,0.276859504,0.20661157,0.095041322,0.02892562,47.94767442,0.137931035,0.062068966,0.534883721,0.11627907,46886,139735,0.965665236
Yes,R2,2,33.33333333,35,1.5,No,0.065359477,0.241830065,0.163398693,0.071895425,0.019607843,47.67924528,0.509259259,0.268518519,0.442307692,0.192307692,70818,343830,0.966442953
Yes,R5,10,10,10,0.1,No,0.090909091,0.224598931,0.342245989,0.165775401,0.037433155,53.19736842,0.164473684,0.013157895,0.78021978,0.307692308,30015,116867,0.978947368
Yes,R1,5,54.16666667,200,1.2,No,0.052884615,0.153846154,0.245192308,0.115384615,0.024038462,51.81935484,0.385620915,0.183006536,0.52631579,0.092105263,78112,343958,0.95215311
Yes,R2,7,6,2,0.285714286,No,0.119791667,0.28125,0.161458333,0.104166667,0.041666667,46.50746269,0.260504202,0.117647059,0.535211268,0.225352113,45542,338207,0.901041667
Yes,R2,11,67.5,5,0.545454546,No,0.116751269,0.279187817,0.289340102,0.172588833,0.055837564,50.69281046,0.272727273,0.13986014,0.547945206,0.356164384,38737,339234,0.554404145
Yes,R1,7,15,10,0.285714286,No,0.093023256,0.227906977,0.162790698,0.08372093,0.023255814,47.73202614,0.288888889,0.155555556,0.493150685,0.136986301,78075,271027,1
Yes,R2,4,20,20,0.25,No,0.097938144,0.221649485,0.12371134,0.036082474,0.010309278,46.31386861,0.602836879,0.354609929,0.333333333,0.05,99599,418191,0.947916667
Yes,R1,8,20,20,0.125,No,0.151785714,0.3125,0.120535714,0.066964286,0.017857143,43.54166667,0.230769231,0.104895105,0.506329114,0.215189873,38905,175265,0.941441441
Yes,R3,8,6.666666667,10,0.375,No,0.131578947,0.257894737,0.205263158,0.131578947,0.036842105,48.19285714,0.246153846,0.153846154,0.569444444,0.25,49551,221126,0.973262032
Yes,R2,1,35,50,2,No,0.121019108,0.267515924,0.146496815,0.050955414,0.01910828,45.55454546,0.218181818,0.1,0.422222222,0.088888889,53162,518805,0.888888889
Yes,R2,6,100,100,0.5,No,0.173913044,0.456521739,0.22826087,0.163043478,0.065217391,46.25274725,0.506024096,0.409638554,0.966666667,0.583333333,53212,0,0.912087912
Yes,R1,5,25,25,0.4,No,0.130136986,0.301369863,0.219178082,0.136986301,0.054794521,48.22857143,0.144329897,0.082474227,0.695652174,0.420289855,35792,134970,0.993055556
Yes,R2,8,18.33333333,15,0.375,No,0.281481482,0.6,0.074074074,0.044444444,0.022222222,37.59663866,0.603773585,0.424528302,0.753846154,0.292307692,54545,216431,0.875
Yes,R1,10,20,20,0.1,No,0.12962963,0.314814815,0.092592593,0.037037037,0.013888889,43.09933775,0.237762238,0.076923077,0.555555556,0.209876543,54311,100458,0.971962617
Yes,R2,9,50,50,0.111111111,No,0.190661479,0.377431907,0.151750973,0.062256809,0.015564202,43.08762887,0.25,0.109375,0.319444444,0.069444444,51768,353026,0.298449612
Yes,R1,3,35,35,0.333333333,No,0.203007519,0.390977444,0.165413534,0.090225564,0.037593985,43.68627451,0.1,0.02,0.8,0.457142857,24188,126035,0.77443609
Yes,R5,3,150,150,0.333333333,No,0.102857143,0.262857143,0.154285714,0.068571429,0.028571429,46.47107438,0.217741936,0.096774194,0.605633803,0.225352113,47550,141362,0.954545455
Yes,R2,2,20,20,0.5,No,0.130252101,0.273109244,0.18487395,0.084033613,0.016806723,46.86285714,0.413580247,0.277777778,0.421052632,0.131578947,126343,534662,0.754237288
Yes,R3,3,45,50,1.333333333,No,0.13,0.28,0.39,0.23,0.08,52.67391304,0.36,0.12,0.854545455,0.363636364,49977,177880,1
Yes,R2,8,15,5,0.5,No,0.086419753,0.228395062,0.222222222,0.111111111,0.030864198,49.75652174,0.264150943,0.179245283,0.625,0.203125,51660,219429,0.969512195
Yes,R2,5,25,25,0.2,No,0.086419753,0.228395062,0.222222222,0.111111111,0.030864198,49.75652174,0.264150943,0.179245283,0.625,0.203125,51660,219429,0.969512195
Yes,R1,9,50,50,0.111111111,No,0.2,0.393333333,0.166666667,0.106666667,0.033333333,44.07258065,0.576923077,0.384615385,0.759493671,0.392405063,52885,245592,0.927631579
Yes,R1,9,75,200,0.666666667,No,0.070512821,0.217948718,0.326923077,0.134615385,0.019230769,52.59055118,0.224137931,0.129310345,0.707692308,0.169230769,51802,204264,0.98125
Yes,R2,1,35,35,1,No,0.2,0.35,0.266666667,0.083333333,0,46.72222222,0.381818182,0.309090909,0.5,0.208333333,47262,275494,0.296875
Yes,R5,1,20,25,2,No,0.098591549,0.244131455,0.164319249,0.070422535,0.014084507,46.71333333,0.24137931,0.096551724,0.445945946,0.162162162,53844,172898,0.958139535
Yes,R6,1,28.33333333,25,3,No,0.093333333,0.266666667,0.16,0.073333333,0.026666667,47.25,0.1,0.022222222,0.509090909,0.145454546,47727,232315,0.993197279
Yes,R1,0,50,50,0,Yes,0.136363636,0.272727273,0.189393939,0.098484849,0.022727273,47.51401869,0.21,0.1,0.766666667,0.316666667,45768,250222,1
Yes,R2,1,42.5,50,4,No,0.233830846,0.437810945,0.164179105,0.084577114,0.019900498,42.5886076,0.219178082,0.068493151,0.56626506,0.289156627,33251,223081,0.537688442
Yes,R2,1,10,10,1,No,0.080508475,0.241525424,0.165254237,0.072033898,0.016949153,47.66666667,0.25477707,0.146496815,0.511627907,0.186046512,70310,193779,0.966244726
Yes,R2,3,50,50,0.333333333,No,0.347826087,0.652173913,0.043478261,0.028985507,0,35.17460318,0.433333333,0.216666667,0.95,0.575,26620,0,0.621212121
Yes,R1,9,10,10,0.333333333,No,0.096551724,0.262068966,0.062068966,0.020689655,0.006896552,43.31313131,0.204301075,0.064516129,0.537037037,0.259259259,76340,77760,0.98630137
Yes,R2,2,25,25,0.5,No,0.376623377,0.662337662,0.090909091,0.038961039,0,36.52054795,0.473684211,0.350877193,0.965517241,0.724137931,37662,112241,0.960526316
Yes,R2,11,208.3333333,100,0.545454546,No,0.183486239,0.321100917,0.321100917,0.220183486,0.082568807,50.48514852,0.333333333,0.151515152,0.910447761,0.47761194,42867,163545,0.956140351
Yes,R1,7,15,10,0.428571429,No,0.074766355,0.210280374,0.242990654,0.130841122,0.023364486,50.67701863,0.243243243,0.108108108,0.575342466,0.109589041,61867,259800,0.937198068
Yes,R1,6,22.5,20,0.333333333,No,0.088607595,0.246835443,0.183544304,0.063291139,0.018987342,47.94067797,0.185840708,0.061946903,0.65625,0.265625,45082,160716,0.987012987
Yes,R2,5,22.5,25,0.4,No,0.086419753,0.228395062,0.222222222,0.111111111,0.030864198,49.75652174,0.264150943,0.179245283,0.625,0.203125,51660,219429,0.969512195
Yes,R4,1,50,50,1,No,0.214285714,0.407142857,0.107142857,0.05,0.014285714,41.11320755,0.170212766,0.095744681,0.724637681,0.52173913,35382,171646,0.892086331
Yes,R1,4,77.5,50,1,No,0.048387097,0.14516129,0.387096774,0.241935484,0.048387097,57.02083333,0.047619048,0,0.821428571,0.214285714,31145,139567,0.967213115
Yes,R1,8,20,20,0.25,No,0.069364162,0.179190751,0.25433526,0.10982659,0.028901734,51.55944056,0.446808511,0.262411348,0.694444444,0.152777778,60464,307253,1
Yes,R3,7,23.75,25,1.142857143,No,0.085972851,0.266968326,0.067873303,0.031674208,0,42.68965517,0.416058394,0.262773723,0.333333333,0.060606061,77595,276564,0.921658986
Yes,R3,9,25,25,0.111111111,No,0.13618677,0.307392996,0.101167315,0.058365759,0.019455253,43.42105263,0.267973856,0.111111111,0.404761905,0.166666667,55427,241989,0.940711463
Yes,R3,9,15,15,0.111111111,No,0.088888889,0.144444444,0.633333333,0.5,0.222222222,63.56818182,0.24,0.106666667,0.968253968,0.650793651,28362,118683,0.951807229
Yes,R5,3,12.5,10,1.333333333,No,0.077319588,0.159793814,0.381443299,0.19072165,0.030927835,55.61038961,0.278571429,0.15,0.7125,0.1625,44750,147492,0.969072165
Yes,R2,8,180,100,0.625,No,0.096385542,0.204819277,0.096385542,0.012048193,0,45.50877193,0.540983607,0.459016393,0.357142857,0.071428571,97630,462900,0.897727273
Yes,R3,3,25,25,0.666666667,No,0.116666667,0.233333333,0.458333333,0.341666667,0.083333333,57.13131313,0.144329897,0.072164949,0.783333333,0.366666667,31175,122929,0.89516129
Yes,R4,2,17.5,25,1,No,0.159292035,0.362831858,0.039823009,0.008849558,0,39.01388889,0.182481752,0.065693431,0.467532468,0.142857143,53577,90504,0.986486487
Yes,R5,9,10,10,0.111111111,No,0.073033708,0.219101124,0.213483146,0.08988764,0.039325843,49.61363636,0.25,0.153225807,0.608695652,0.173913044,50832,177922,0.971428571
Yes,R1,7,75,75,0.285714286,No,0.084507042,0.133802817,0.5,0.35915493,0.14084507,60.78512397,0.362831858,0.221238938,0.810810811,0.5,42286,228210,0.886524823
Yes,R2,1,60,60,1,No,0.227272727,0.388888889,0.126262626,0.065656566,0.03030303,42.32075472,0.555555556,0.388888889,0.582278481,0.253164557,53713,486133,0.798994975
Yes,R2,5,75,50,0.4,No,0.111111111,0.255144033,0.172839506,0.0781893,0.012345679,47.2849162,0.514124294,0.299435028,0.4625,0.1875,90898,480338,0.892116183
Yes,R2,5,137.5,100,1.2,No,0.133333333,0.266666667,0.283333333,0.1,0.033333333,49.96428571,0.74,0.66,0.740740741,0.148148148,120714,425889,0.467741936
Yes,R3,4,21.66666667,10,1.5,No,0.228070175,0.429824561,0.175438597,0.096491228,0.02631579,43.39175258,0.388888889,0.233333333,0.841269841,0.380952381,44053,0,0.922413793
Yes,R2,4,20,20,0.25,No,0.165384615,0.311538462,0.15,0.069230769,0.026923077,44.54973822,0.401098901,0.197802198,0.378378378,0.108108108,48064,418849,0.609375
Yes,R6,3,12.5,5,0.666666667,No,0.097297297,0.275675676,0.178378378,0.07027027,0.016216216,46.82962963,0.209302326,0.093023256,0.64,0.173333333,45341,165010,0.994652406
Yes,R2,10,25,25,0.1,No,0.119230769,0.311538462,0.126923077,0.057692308,0.019230769,43.88823529,0.171597633,0.094674556,0.477272727,0.102272727,54049,227539,0.977011494
Yes,R4,2,20,20,1,No,0.188235294,0.4,0.058823529,0.011764706,0,39.20338983,0.15,0.066666667,0.558823529,0.176470588,48160,92903,0.97752809
Yes,R2,8,37.5,25,0.25,No,0.303797468,0.582278481,0.189873418,0.139240506,0.050632911,41.8961039,0.547945206,0.424657534,0.948275862,0.672413793,39638,135595,0.882352941
Yes,R6,8,25,20,0.875,No,0.178807947,0.357615894,0.105960265,0.046357616,0.026490066,42.02020202,0.164835165,0.10989011,0.6,0.233333333,30713,102218,0.974842767
Yes,R2,9,15,15,0.111111111,No,0.223140496,0.487603306,0.198347107,0.115702479,0.049586777,44.14782609,0.415929204,0.230088496,0.976470588,0.611764706,29033,130351,0.827868853
Yes,R2,5,26.66666667,20,0.6,No,0.196721312,0.327868853,0.409836066,0.262295082,0.081967213,52.37931035,0.301886793,0.188679245,0.941176471,0.529411765,53055,226522,0.661016949
Yes,R2,3,66.66666667,50,1,No,0.29787234,0.5,0.20212766,0.127659575,0.042553192,43.05747126,0.382716049,0.197530864,0.849056604,0.377358491,39501,105625,0.831578947
Yes,R2,6,18.33333333,20,1,No,0.084337349,0.257028112,0.096385542,0.044176707,0.008032129,44.09876543,0.218543046,0.119205298,0.407894737,0.118421053,57401,231505,0.896
Yes,R3,1,5,5,1,No,0.153846154,0.315384615,0.111538462,0.061538462,0.023076923,43.32386364,0.224242424,0.127272727,0.38961039,0.194805195,55483,249779,0.729007634
Yes,R3,0,100,100,0,Yes,0.131578947,0.257894737,0.205263158,0.131578947,0.036842105,48.19285714,0.246153846,0.153846154,0.569444444,0.25,49551,221126,0.973262032
