DENY,BLACK,PI_RATIO,HOUSE_INCOME,MEDIUM,HIGH,LOAN_VALUE,CONSUMER_CREDIT,MORGAGE_CREDIT,PUBLIC,DENIED_MI,SELF,SINGLE,URIA
0,0,0.16,0.08,0,0,0.732484,1,1,0,0,0,1,3.2
0,0,0.39,0.28,1,0,0.91358,1,2,0,0,0,1,3.1
0,0,0.36,0.26,0,0,0.207143,5,2,0,0,0,0,3.2
0,0,0.314,0.265,1,0,0.934426,1,2,1,0,0,0,3.2
0,0,0.34,0.28,1,0,0.903448,1,2,1,0,0,0,3.9
0,0,0.332,0.281,1,0,0.902439,2,2,0,0,0,1,10.6
0,0,0.33,0.33,0,0,0.636943,1,1,0,0,1,1,4.3
0,0,0.399,0.272,0,0,0.769231,1,2,0,0,0,1,10.6
0,0,0.342,0.322,0,0,0.75,1,2,0,0,0,0,3.2
0,0,0.376,0.278,1,0,0.8,2,1,0,0,0,1,3.2
0,0,0.321,0.251,1,0,0.888889,1,2,0,0,0,0,4.3
0,0,0.279,0.208,0,0,0.75188,1,2,0,0,0,0,5.3
0,0,0.317,0.246,1,0,0.89404,2,2,0,0,0,0,3.2
0,1,0.285,0.26,0,0,0.65,1,2,0,0,1,0,3.9
0,0,0.365,0.24,1,0,0.940397,2,2,0,0,0,0,3.1
0,0,0.337,0.314,0,0,0.425532,4,1,0,0,0,0,3.2
0,0,0.35,0.27,0,0,0.678571,1,1,0,0,0,1,3.2
0,0,0.352,0.289,1,0,0.884615,2,2,0,0,0,1,3.2
0,0,0.35,0.28,1,0,0.939189,1,1,0,0,0,0,3.2
0,0,0.344,0.251,1,0,0.902439,1,2,0,0,0,0,3.1
0,0,0.28,0.28,0,0,0.738255,1,2,0,0,0,1,3.2
0,0,0.378,0.225,1,0,0.899471,2,2,0,0,0,0,4.3
0,0,0.258,0.194,0,0,0.677966,2,2,0,0,0,0,5.3
0,0,0.218,0.082,1,0,0.802198,2,1,0,0,1,0,10.6
0,0,0.23,0.17,0,0,0.553073,1,1,0,0,0,0,3.1
0,0,0.285,0.285,0,0,0.651568,1,2,0,0,0,0,3.2
1,0,0.265,0.265,1,0,0.835165,2,2,1,1,0,0,4.3
0,0,0.36,0.24,0,0,0.784314,1,4,0,0,0,1,5.3
0,0,0.272,0.27,0,0,0.666667,1,1,0,0,0,0,2
0,0,0.36,0.22,1,0,0.801136,2,1,0,0,1,1,3.2
1,1,0.31,0.31,1,0,0.882353,4,2,0,0,0,0,3.2
1,0,0.359,0.289,1,0,0.902985,2,2,0,0,0,0,4.3
0,0,0.397,0.244,0,0,0.660377,2,1,0,0,0,0,3.2
0,0,0.34,0.26,0,0,0.746753,2,1,0,0,1,0,10.6
1,1,0.219,0.213,0,0,0.767677,2,2,0,0,0,0,4.3
0,0,0.32,0.32,1,0,0.85,1,2,0,0,0,1,4.3
0,0,0.32,0.24,1,0,0.948148,1,2,0,0,0,0,4.3
0,0,0.28,0.28,0,0,0.434783,1,2,0,0,0,1,2
1,1,0.388,0.32,1,0,0.888112,3,2,0,0,0,0,2
0,0,0.25,0.18,0,0,0.782609,1,2,0,0,0,1,3.2
0,0,0.34,0.25,1,0,0.8,1,1,0,0,0,0,10.6
0,0,0.32,0.22,0,0,0.730594,2,2,0,0,0,0,3.2
0,0,0.312,0.256,0,0,0.792208,1,2,0,0,1,0,1.8
0,0,0.33,0.31,0,0,0.580247,1,2,0,0,0,1,4.3
0,0,0.32,0.31,0,0,0.636364,2,2,0,0,0,0,3.2
0,0,0.38,0.3,1,0,0.876471,2,1,0,0,0,0,10.6
0,0,0.32,0.2,0,0,0.796992,1,2,0,0,0,0,2
0,0,0.23,0.22,1,0,0.922222,1,2,0,0,0,0,4.3
0,0,0.27,0.27,0,0,0.751269,2,2,0,0,0,0,4.3
0,0,0.314,0.314,0,0,0.666667,5,1,0,0,0,1,1.8
0,0,0.35,0.23,1,0,0.851852,3,2,0,0,0,1,3.9
0,0,0.32,0.27,0,0,0.743363,2,2,0,0,1,1,3.2
0,0,0.358,0.102,1,0,0.8,1,1,0,0,0,0,3.9
1,0,0.35,0.33,1,0,0.929688,1,2,0,1,0,1,3.9
0,0,0.34,0.24,1,0,0.922535,3,2,0,0,0,0,3.1
0,0,0.31,0.22,1,0,0.8,2,2,0,0,1,1,10.6
0,0,0.29,0.21,0,0,0.703226,3,3,0,0,0,0,3.1
1,0,0.61,0.39,0,0,0.555556,1,2,0,0,0,0,10.6
0,0,0.263,0.226,0,0,0.625407,1,1,0,0,0,0,3.2
0,0,0.262,0.258,0,0,0.687023,2,2,0,0,0,1,4.3
0,0,0.36,0.289,0,0,0.7875,1,2,0,0,0,0,3.2
1,0,0.46,0.31,0,1,1.105556,2,1,0,0,1,1,4.3
0,0,0.305,0.218,0,0,0.666667,1,2,0,0,0,0,3.2
0,0,0.384,0.28,0,0,0.506667,2,2,0,0,0,1,3.9
0,0,0.264,0.215,0,0,0.788177,1,2,0,0,1,0,10.6
0,0,0.33,0.309,0,0,0.302326,1,1,0,0,0,0,3.2
1,1,0.47,0.31,1,0,0.892617,3,2,0,0,1,1,3.2
0,0,0.19,0.18,0,0,0.738889,1,2,0,0,0,0,1.8
0,0,0.3,0.3,1,0,0.894737,4,2,0,0,0,1,4.3
0,0,0.36,0.26,0,0,0.738636,1,1,0,0,0,0,3.9
0,0,0.33,0.26,0,0,0.7,1,2,0,0,0,1,3.9
0,0,0.23,0.23,0,0,0.736842,1,2,0,0,0,1,3.1
0,0,0.41,0.34,1,0,0.8,3,1,0,0,0,0,3.2
0,0,0.36,0.3,0,1,0.950617,2,2,0,0,0,0,1.8
1,0,0.41,0.33,0,0,0.694595,1,2,0,0,0,0,1.8
0,0,0.33,0.33,0,0,0.681818,1,2,0,0,0,0,5.3
1,0,0.29,0.29,0,0,0.571429,6,2,1,0,0,1,1.8
0,0,0.41,0.28,0,0,0.786787,1,1,0,0,0,0,3.1
0,0,0.33,0.28,1,0,0.897872,1,2,0,0,0,0,3.6
0,0,0.23,0.19,1,0,0.889175,1,1,0,0,0,0,3.2
0,0,0.39,0.34,0,0,0.717037,1,1,0,0,1,0,3.2
0,0,0.39,0.15,0,0,0.798469,5,1,0,0,1,0,3.2
0,0,0.27,0.24,1,0,0.8,1,1,0,0,0,0,3.2
0,0,0.384,0.142,1,0,0.8,1,1,0,0,1,1,4.3
0,1,0.382,0.277,1,0,0.804124,6,2,0,0,0,1,3.9
0,0,0.37,0.261,0,0,0.581301,1,2,0,0,0,0,3.2
0,0,0.325,0.323,0,0,0.781915,4,2,0,0,0,1,3.2
0,0,0.398,0.358,0,0,0.642857,1,1,0,0,0,1,3.2
0,0,0.395,0.306,1,0,0.8,2,2,0,0,0,1,3.2
0,0,0.407,0.337,0,0,0.748936,1,2,0,0,0,1,3.2
0,0,0.301,0.199,0,0,0.77907,1,2,0,0,0,1,1.8
0,0,0.365,0.318,1,0,0.9,1,2,0,0,0,1,3.2
0,0,0.266,0.257,0,0,0.797753,1,2,0,0,0,1,3.2
0,0,0.268,0.242,1,0,0.894737,1,2,0,0,0,0,3.2
0,0,0.269,0.226,0,0,0.79878,1,2,0,0,0,0,3.9
0,1,0.409,0.315,1,0,0.88785,6,2,0,0,0,1,3.2
0,0,0.308,0.28,0,0,0.581395,6,2,0,0,0,0,3.2
0,0,0.311,0.311,0,0,0.666667,5,2,0,0,0,1,3.2
0,1,0.36,0.3,1,0,0.862745,1,2,0,0,0,0,1.8
0,0,0.39,0.31,1,0,0.813333,2,2,0,0,0,0,3.2
0,0,0.32,0.32,0,0,0.732308,1,2,0,0,0,0,3.2
0,0,0.18,0.16,0,0,0.314815,1,2,0,0,0,0,5.3
0,0,0.34,0.27,0,0,0.379808,6,2,0,0,0,0,1.8
0,1,0.328,0.328,1,0,0.868966,1,2,0,0,0,1,3.1
1,1,0.3838,0.2894,0,1,0.987952,6,2,0,0,0,1,3.2
0,1,0.338,0.253,1,0,0.9,6,2,0,0,0,0,3.2
0,0,0.281,0.271,0,0,0.4675,1,2,0,0,0,0,3.2
1,1,0.3923,0.3338,1,0,0.902256,6,2,1,0,0,1,4.3
0,0,0.363,0.209,0,0,0.47138,1,1,0,0,0,0,3.2
0,0,0.2458,0.2308,0,0,0.311111,1,1,0,0,0,0,2
0,0,0.3821,0.3309,0,0,0.797297,1,2,0,0,0,0,3.2
0,0,0.32,0.28,0,0,0.65,1,1,0,0,0,0,2
0,1,0.286,0.255,0,0,0.65,5,2,0,0,0,0,2
0,0,0.266,0.21,0,0,0.555556,2,1,0,0,0,1,1.8
0,1,0.315,0.287,1,0,0.901316,1,1,0,0,0,0,3.2
0,1,0.3047,0.239,0,0,0.478261,1,2,0,0,0,1,3.6
0,0,0.338,0.292,1,0,0.902857,1,2,0,0,0,1,3.2
0,0,0.366,0.273,0,0,0.651786,1,2,0,0,0,1,3.2
0,1,0.371,0.245,0,0,0.59322,1,2,0,0,1,0,3.2
0,0,0.381,0.319,0,0,0.315582,1,2,0,0,0,0,3.6
0,1,0.35,0.31,1,0,0.898551,1,2,0,0,0,1,3.9
0,1,0.34,0.29,0,1,0.952381,2,2,0,0,0,0,5.3
0,0,0.2652,0.2125,1,0,0.891089,6,2,0,0,0,0,3.6
0,0,0.35,0.26,1,0,0.9,2,2,0,0,0,1,3.2
1,1,0.39,0.26,1,0,0.902256,6,2,0,0,0,1,3.2
1,0,0.39,0.24,0,0,0.779661,2,2,0,0,1,1,4.3
0,0,0.3,0.17,0,0,0.402174,1,1,0,0,0,0,3.1
0,0,0.29,0.29,0,0,0.709091,1,1,0,0,0,0,1.8
0,0,0.35,0.34,1,0,0.801484,1,2,0,0,0,0,3.6
0,0,0.39,0.27,1,0,0.833333,1,1,0,0,0,1,2
0,1,0.36,0.28,1,0,0.903704,6,2,0,0,0,1,3.9
0,0,0.26,0.26,0,0,0.736111,1,1,0,0,0,1,1.8
0,0,0.36,0.23,0,0,0.742188,1,1,0,0,0,1,3.2
0,0,0.27,0.22,0,0,0.774011,1,2,0,0,0,0,3.9
0,0,0.357,0.2,1,0,0.8,5,2,0,0,0,1,3.1
0,1,0.3,0.197,1,0,0.883495,1,2,0,0,0,0,3.1
0,1,0.39,0.29,1,0,0.90566,1,2,0,0,0,0,2
0,0,0.31,0.3,1,0,0.897959,1,2,0,0,0,0,1.8
1,0,0.43,0.21,0,0,0.5625,2,1,0,0,1,0,3.2
1,1,0.4,0.26,0,0,0.531469,6,2,1,1,0,0,3.2
0,1,0.34,0.23,1,0,0.883929,6,2,0,0,0,1,3.1
1,0,0.406,0.406,1,0,0.898305,4,2,0,0,1,0,3.6
1,0,0.23,0.13,0,0,0.338164,1,2,0,0,0,0,3.6
1,0,0.73,0.37,0,0,0.456274,1,1,0,0,1,1,3.2
0,1,0.38,0.35,0,0,0.577236,1,2,0,0,0,0,2
0,1,0.383,0.3609,0,0,0.608,1,2,0,0,0,0,3.1
0,0,0.32,0.221,1,0,0.897196,1,2,0,0,0,0,10.6
0,0,0.293,0.25,1,0,0.852174,1,2,0,0,0,0,3.9
0,0,0.2403,0.235,0,0,0.25641,1,2,0,0,0,1,1.8
0,0,0.194,0.115,0,0,0.727778,2,2,0,0,0,1,3.2
0,1,0.294,0.259,0,0,0.57377,6,2,0,0,0,1,1.8
0,1,0.382,0.269,0,0,0.608,2,2,0,0,0,0,3.2
0,1,0.3798,0.2796,0,0,0.608,6,2,0,0,1,1,3.2
0,1,0.3359,0.2194,1,0,0.809859,1,2,0,0,0,0,3.2
0,1,0.3903,0.2772,0,0,0.608,6,2,0,0,0,1,3.9
0,1,0.3928,0.3038,1,0,0.8,6,2,0,0,0,1,3.9
0,0,0.28,0.28,1,0,0.826087,5,2,0,0,0,0,3.6
0,0,0.31,0.26,1,0,0.896825,1,2,0,0,0,0,3.6
0,0,0.3841,0.2091,1,0,0.8,1,2,0,0,1,1,3.6
0,1,0.334,0.286,1,0,0.889655,1,2,0,0,0,1,3.9
0,1,0.29,0.26,1,0,0.892473,1,2,0,0,0,1,3.9
0,0,0.3309,0.3005,0,0,0.745763,1,2,0,0,0,1,1.8
0,1,0.3369,0.3214,1,0,0.933333,1,2,0,0,0,1,2
0,0,0.3423,0.314,1,0,0.861244,1,2,0,0,0,0,10.6
1,1,0.3027,0.2577,0,1,0.954545,5,2,0,0,0,1,3.9
0,0,0.3191,0.2652,0,0,0.792453,1,2,0,0,0,0,3.1
0,0,0.2463,0.211,0,0,0.688073,1,2,0,0,0,0,4.3
0,0,0.286,0.2527,0,0,0.753488,2,2,0,0,1,0,10.6
0,0,0.27,0.27,0,0,0.797872,6,2,0,0,0,1,3.2
0,0,0.282,0.2512,1,0,0.9,2,2,0,0,1,1,4.3
0,0,0.3244,0.2918,0,0,0.564797,1,1,0,0,1,1,1.8
0,0,0.348,0.1889,0,0,0.737968,2,2,0,0,1,0,3.9
0,0,0.296,0.296,0,0,0.479233,4,2,0,0,0,1,1.8
0,0,0.3198,0.2627,0,0,0.532258,5,1,0,0,0,0,3.2
0,0,0.4001,0.2788,0,0,0.407843,1,2,0,0,1,1,3.2
0,0,0.2763,0.2544,0,0,0.748503,2,2,0,0,0,0,2
0,0,0.3524,0.2899,0,0,0.748092,2,2,0,0,0,1,3.9
0,0,0.1238,0.1218,0,0,0.693069,1,2,0,0,0,0,1.8
0,0,0.34,0.27,0,1,1.908333,1,2,0,0,0,1,3.1
0,0,0.2116,0.1818,0,0,0.516129,1,2,0,0,1,0,10.6
0,0,0.2826,0.2752,0,0,0.471178,1,1,0,0,0,0,1.8
0,0,0.289,0.2846,0,0,0.740741,1,1,0,0,0,0,3.2
0,0,0.3,0.25,0,0,0.771277,5,1,0,0,0,0,10.6
0,0,0.36,0.28,0,0,0.735931,3,2,0,0,0,0,3.1
0,0,0.32,0.27,0,0,0.564103,1,1,0,0,0,0,3.9
1,0,0.32,0.32,0,0,0.6875,1,1,0,0,0,0,3.2
0,0,0.26,0.2,0,0,0.735714,5,1,0,0,0,0,3.2
0,0,0.26,0.21,0,0,0.707547,2,1,0,0,0,0,3.6
1,0,0.32,0.26,0,0,0.794444,2,1,0,0,1,0,1.8
0,1,0.42,0.33,1,0,0.8,3,3,1,0,0,1,3.2
0,0,0.34,0.33,0,0,0.643411,5,2,0,0,0,1,1.8
0,0,0.37,0.34,1,0,0.877551,1,2,0,0,0,0,3.1
0,0,0.29,0.28,0,0,0.592593,1,2,0,0,0,1,2
0,0,0.35,0.31,0,0,0.72,1,2,0,0,0,1,1.8
0,0,0.4,0.27,1,0,0.8,1,2,0,0,0,1,4.3
0,0,0.36,0.3,1,0,0.926316,1,2,0,0,0,1,3.2
0,0,0.38,0.27,0,0,0.704545,1,1,0,0,0,0,3.9
0,0,0.37,0.26,0,0,0.577778,1,1,0,0,0,0,2
0,0,0.41,0.23,0,0,0.70566,1,1,0,0,0,1,1.8
0,0,0.32,0.31,0,0,0.277778,1,2,0,0,0,0,3.2
0,0,0.33,0.26,1,0,0.946237,1,2,0,0,0,0,4.3
0,0,0.33,0.26,1,0,0.817647,1,2,0,0,0,0,10.6
0,0,0.29,0.21,0,0,0.3125,1,2,0,0,0,1,3.2
0,0,0.37,0.11,0,0,0.340909,6,1,0,0,1,0,3.2
0,0,0.36,0.2,1,0,0.89881,6,2,1,0,0,1,5.3
0,0,0.37,0.3,0,0,0.764706,1,2,0,0,0,0,3.6
0,0,0.3,0.3,0,0,0.529412,1,1,0,0,0,0,5.3
0,0,0.34,0.34,1,0,0.811765,1,2,0,0,0,0,3.6
0,0,0.42,0.26,0,0,0.75,2,2,0,0,1,0,3.2
0,0,0.2,0.08,0,0,0.111111,1,1,0,0,0,0,3.2
0,0,0.3,0.29,0,0,0.533333,2,1,0,0,0,0,3.1
0,0,0.38,0.27,1,0,0.934375,2,1,0,0,0,0,3.2
0,0,0.34,0.31,1,0,0.921212,6,2,0,0,0,1,5.3
0,0,0.29,0.26,0,0,0.667857,1,1,0,0,1,0,4.3
0,0,0.32,0.29,1,0,0.916667,1,2,0,0,0,0,3.1
0,0,0.36,0.3,1,0,0.94375,2,2,0,0,0,0,3.2
0,0,0.41,0.3,0,0,0.652174,1,1,0,0,0,0,3.2
0,0,0.32,0.28,0,0,0.474453,1,2,0,0,0,1,1.8
0,1,0.38,0.31,1,0,0.824,1,2,0,0,0,0,10.6
0,0,0.2,0.04,0,0,0.485075,3,1,0,0,0,0,3.6
0,0,0.28,0.22,1,0,0.923077,4,2,0,0,0,1,3.1
0,0,0.25,0.25,0,0,0.555556,4,2,0,0,0,0,3.1
0,0,0.29,0.28,0,0,0.575385,1,2,0,0,0,0,3.2
1,0,0.49,0.37,1,0,0.915584,2,1,0,0,0,1,3.2
0,0,0.33,0.24,1,0,0.889474,1,2,0,0,0,0,3.1
0,0,0.45,0.21,1,0,0.801587,2,1,0,0,0,0,3.1
1,0,0.41,0.35,1,0,0.922581,1,2,0,1,0,1,4.3
0,0,0.35,0.28,1,0,0.83871,1,2,0,0,0,0,3.1
0,0,0.35,0.3,0,0,0.350877,2,3,0,0,0,0,3.9
0,0,0.08,0.07,0,0,0.732984,1,2,0,0,1,0,3.9
0,0,0.25,0.25,0,0,0.503704,1,2,0,0,0,1,4.3
0,0,0.48,0.15,0,0,0.726667,1,2,0,0,0,0,4.3
0,0,0.36,0.01,0,1,1.465116,1,2,0,0,1,0,1.8
0,0,0.32,0.31,1,0,0.84058,1,2,0,0,0,0,10.6
0,0,0.27,0.2,1,0,0.843882,1,2,0,0,0,0,10.6
0,0,0.34,0.27,0,0,0.793103,1,1,0,0,0,0,3.2
0,0,0.33,0.3,0,0,0.784672,6,2,1,0,0,1,3.2
0,0,0.28,0.33,0,0,0.628571,1,2,1,0,0,0,3.2
0,0,0.34,0.26,1,0,0.898876,2,1,0,0,0,0,3.2
0,0,0.37,0.36,0,0,0.756164,1,2,0,0,0,1,3.2
0,0,0.3,0.26,0,0,0.734568,4,2,0,0,0,1,3.2
0,0,0.36,0.33,0,0,0.688776,1,2,0,0,0,0,1.8
0,0,0.3551,0.1998,0,0,0.501433,3,4,0,0,1,0,3.6
0,0,0.25,0.19,0,0,0.731429,2,2,0,0,1,1,3.2
0,0,0.14,0.13,0,0,0.34965,4,1,0,0,0,0,1.8
0,0,0.44,0.2,0,0,0.416667,1,1,0,0,1,0,10.6
0,0,0.45,0.3,0,1,1.148148,1,2,0,0,0,0,3.2
0,0,0.37,0.26,1,0,0.802469,1,2,0,0,1,0,10.6
0,0,0.34,0.3,0,0,0.797403,1,1,0,0,0,0,4.3
0,0,0.2704,0.1675,0,0,0.786982,3,3,0,0,0,0,3.1
0,0,0.23,0.23,0,0,0.635359,2,2,0,0,0,0,5.3
0,0,0.34,0.29,1,0,0.946565,1,2,0,0,0,1,3.2
0,0,0.33,0.26,0,0,0.727891,2,2,0,0,0,1,5.3
0,0,0.375,0.2697,0,0,0.785714,1,2,0,0,0,1,3.2
0,0,0.3357,0.3246,0,0,0.773684,1,1,0,0,0,0,2
0,0,0.2779,0.00085,0,0,0.628571,1,2,0,0,0,0,3.2
0,0,0.41,0.12,0,0,0.488889,1,1,0,0,0,0,3.6
0,0,0.3629,0.3015,0,0,0.516667,1,1,0,0,0,0,3.2
0,0,0.3088,0.2256,0,0,0.782353,1,2,0,0,0,0,3.1
0,0,0.366,0.282,0,0,0.718519,1,2,0,0,0,0,4.3
0,0,0.3149,0.2579,1,0,0.875912,1,2,0,0,0,1,4.3
0,0,0.2752,0.2033,1,0,0.809524,1,1,0,0,0,0,3.6
0,0,0.35,0.2,0,0,0.503876,3,1,0,0,0,0,5.3
0,0,0.3327,0.2677,0,0,0.714286,1,2,0,0,0,1,3.6
0,0,0.32,0.26,0,0,0.469484,3,3,0,0,0,0,10.6
1,0,0.2642,0.2585,0,0,0.783333,1,1,0,1,0,0,3.2
1,0,0.3397,0.1782,0,0,0.5,2,1,0,0,0,0,10.6
1,0,0.3397,0.1782,0,0,0.5,2,1,0,0,0,0,10.6
0,0,0.3606,0.2802,0,0,0.718519,1,2,0,0,0,0,3.6
0,0,0.3768,0.202,1,0,0.884058,1,1,0,0,1,0,1.8
0,1,0.301,0.278,1,0,0.861538,2,2,0,0,0,0,3.2
0,0,0.54,0.54,0,0,0.75,4,2,0,0,0,1,3.2
0,0,0.351,0.337,0,0,0.623494,4,2,0,0,0,0,3.1
0,0,0.389,0.271,1,0,0.919231,6,2,0,0,0,1,3.1
1,0,0.43,0.32,0,0,0.794045,6,3,0,0,1,0,3.2
1,0,0.43,0.43,0,0,0.798005,2,2,1,0,1,0,3.9
0,0,0.15,0.05,0,0,0.658065,6,1,0,0,0,0,10.6
0,0,0.34,0.28,1,0,0.895833,1,2,0,0,0,1,4.3
0,0,0.31,0.21,0,0,0.7,2,1,0,0,0,1,1.8
0,0,0.37,0.28,1,0,0.911392,2,2,0,0,0,0,3.2
0,0,0.31,0.27,1,0,0.883212,1,2,0,0,0,0,5.3
0,0,0.3,0.2,1,0,0.894737,1,2,0,0,0,0,3.2
0,0,0.16,0.16,0,0,0.203046,1,1,0,0,0,0,10.6
0,0,0.36,0.23,1,0,0.843284,1,2,0,0,0,0,3.1
0,0,0.36,0.28,0,0,0.734211,1,2,0,0,0,0,2
0,0,0.4,0.3,0,0,0.695364,1,2,0,0,0,0,3.9
0,0,0.37,0.3,1,0,0.841584,1,2,0,0,0,1,3.2
0,0,0.28,0.22,0,0,0.473684,1,1,0,0,1,0,3.2
0,0,0.43,0.35,0,0,0.514706,5,2,1,0,0,0,3.2
0,0,0.36,0.27,1,0,0.863388,1,1,1,0,0,0,3.2
0,0,0.24,0.24,0,0,0.631068,1,2,0,0,1,0,4.3
0,0,0.47,0.47,0,0,0.651079,1,1,0,0,1,0,4.3
0,1,0.08,0.08,0,0,0.643836,4,2,0,0,0,1,3.2
0,0,0.24,0.23,0,0,0.566667,1,1,0,0,0,0,5.3
0,0,0.22,0.21,0,0,0.653179,1,2,0,0,0,0,3.2
0,0,0.14,0.12,0,0,0.32,1,1,0,0,0,0,3.2
0,0,0.21,0.16,0,0,0.289256,1,1,0,0,0,0,3.1
0,0,0,0.29,0,0,0.629496,1,1,0,0,0,0,3.1
1,0,0.2102,0.207,0,0,0.783333,1,2,0,0,0,1,3.1
0,0,0.3945,0.3323,0,0,0.147692,1,1,0,0,0,0,3.9
0,0,0.3,0.26,0,0,0.625,1,2,0,0,0,1,3.2
0,0,0.36,0.29,1,0,0.8,2,2,0,0,0,0,3.2
0,0,0.28,0.27,0,0,0.55102,2,1,0,0,0,0,4.3
0,0,0.26,0.24,0,0,0.796875,1,2,0,0,0,0,3.9
0,0,0.28,0.21,0,0,0.688889,2,2,0,0,0,1,3.9
0,0,0.3044,0.198,0,0,0.328947,2,1,0,0,1,0,3.2
0,0,0.3136,0.2876,0,0,0.306748,2,1,0,0,0,0,4.3
0,0,0.3023,0.2634,0,0,0.761905,5,2,0,0,0,0,3.1
0,0,0.1995,0.1762,0,0,0.453333,2,1,0,0,0,0,3.2
0,0,0.2745,0.1722,0,0,0.714286,6,2,0,0,0,0,3.2
1,0,0.318,0.312,1,0,0.80292,3,2,0,0,0,1,2
0,0,0.45,0.238,0,0,0.6,6,1,0,0,0,0,1.8
0,0,0.3569,0.1809,0,0,0.7,1,1,0,0,0,0,3.1
0,0,0.254,0.243,0,0,0.663507,1,1,0,0,0,1,4.3
0,0,0.2406,0.2285,0,0,0.4,1,2,0,0,0,1,3.6
0,0,0.28,0.27,0,0,0.33871,1,1,0,0,0,0,1.8
1,0,0.4168,0.326,0,1,1.182432,5,1,0,0,1,1,3.2
1,0,0.3886,0.3886,0,0,0.627273,2,3,0,0,0,1,10.6
1,0,0.3408,0.2254,0,0,0.731429,2,2,0,0,0,0,3.2
0,0,0.27,0.21,1,0,0.831933,1,2,0,0,0,1,2
