wage,education,wage_begin,gender,minority,job_category
24000,8,10950,Female,No,Administrative
25950,12,10950,Female,No,Administrative
24600,12,10050,Female,No,Administrative
28500,12,10500,Female,No,Administrative
30750,8,15000,Male,Yes,Custodians
40200,17,19500,Male,Yes,Administrative
30000,8,15000,Male,Yes,Custodians
22050,12,10950,Female,Yes,Administrative
78250,18,27480,Male,No,Management
60625,16,22500,Male,No,Management
39900,14,15750,Male,No,Administrative
97000,19,35010,Male,No,Management
27450,15,15750,Male,No,Administrative
31650,15,13500,Male,No,Administrative
91250,19,29490,Male,No,Management
25200,12,14400,Female,No,Administrative
21000,12,11550,Female,No,Administrative
30450,12,15000,Male,Yes,Administrative
28350,15,18000,Male,Yes,Administrative
30750,12,9000,Male,Yes,Custodians
30750,12,15000,Male,Yes,Custodians
54875,16,27480,Male,No,Management
37800,14,16500,Male,No,Administrative
33450,15,14100,Male,No,Administrative
30300,15,16500,Male,No,Administrative
31500,12,18750,Female,No,Administrative
31650,12,14250,Female,No,Administrative
25200,12,14100,Female,No,Administrative
37800,16,15750,Female,No,Management
18750,15,10500,Female,No,Administrative
32550,15,13500,Female,No,Administrative
33300,12,15000,Female,No,Administrative
38550,16,16500,Female,No,Administrative
27450,12,15000,Male,Yes,Administrative
24300,15,15000,Male,Yes,Custodians
30750,12,15000,Male,Yes,Custodians
19650,12,9750,Female,Yes,Administrative
68750,17,27510,Male,No,Management
59375,20,30000,Male,No,Management
31500,15,15750,Male,No,Administrative
27300,12,17250,Male,No,Administrative
27000,15,15750,Male,No,Administrative
41550,16,24990,Female,No,Management
26250,12,10950,Female,No,Administrative
22200,12,15000,Male,No,Administrative
65000,21,37500,Male,No,Management
30900,12,15000,Male,No,Administrative
20100,8,13200,Female,No,Administrative
22350,12,13500,Female,No,Administrative
35550,15,13350,Female,No,Administrative
28500,12,13950,Female,No,Administrative
24450,12,13200,Female,No,Administrative
16650,8,9750,Female,No,Administrative
26700,12,13500,Male,Yes,Administrative
43950,18,23250,Male,Yes,Administrative
23700,15,13500,Male,Yes,Administrative
26550,15,14250,Female,Yes,Administrative
27600,12,15000,Male,No,Administrative
25800,12,15000,Male,No,Administrative
42300,16,26250,Male,No,Management
30750,8,15000,Male,No,Custodians
26700,12,12900,Female,No,Administrative
20850,12,12000,Female,No,Administrative
35250,15,15000,Male,Yes,Administrative
26700,15,15000,Male,Yes,Administrative
26550,12,13050,Female,Yes,Administrative
27750,12,12000,Female,Yes,Administrative
25050,16,12750,Female,Yes,Administrative
66000,16,47490,Male,No,Management
52650,16,19500,Male,No,Administrative
45625,16,23250,Male,No,Management
30900,15,15000,Male,No,Administrative
29400,15,16500,Female,No,Administrative
33300,15,13500,Female,No,Administrative
21900,12,9750,Female,No,Administrative
18150,12,9750,Female,No,Administrative
46875,16,17250,Female,No,Management
25500,12,14400,Male,Yes,Administrative
26550,12,15000,Male,Yes,Administrative
26700,12,13500,Male,Yes,Administrative
29850,15,15000,Female,Yes,Administrative
69250,20,42480,Male,No,Management
31950,8,15000,Male,No,Custodians
26250,8,15600,Male,No,Administrative
35700,16,17250,Female,No,Administrative
28500,12,16500,Female,No,Administrative
17100,12,10200,Female,No,Administrative
25200,12,13050,Male,Yes,Administrative
24000,12,12750,Female,Yes,Administrative
27450,12,10200,Female,Yes,Administrative
18450,12,10200,Female,Yes,Administrative
39300,15,15750,Male,No,Administrative
38850,15,15000,Male,No,Administrative
30750,8,15000,Male,No,Custodians
37500,15,20400,Male,No,Administrative
58750,16,21750,Male,No,Management
34500,12,18750,Female,No,Administrative
36000,12,19980,Female,No,Administrative
29100,8,16500,Female,No,Administrative
16500,12,10200,Female,No,Administrative
19650,12,12750,Male,Yes,Administrative
24750,12,12000,Female,Yes,Administrative
27150,15,15750,Female,Yes,Administrative
26400,12,12750,Female,Yes,Administrative
23100,16,12000,Female,Yes,Administrative
54900,15,25500,Male,No,Management
70875,19,43500,Male,No,Management
51250,16,27480,Male,No,Management
67500,17,34980,Male,No,Management
29340,12,19500,Male,No,Administrative
39600,15,16500,Male,No,Administrative
29100,12,15000,Male,No,Administrative
33150,15,16500,Male,No,Administrative
66750,16,52500,Male,No,Management
33750,12,15000,Male,No,Custodians
27300,15,17250,Male,No,Administrative
24000,12,11250,Female,No,Administrative
19800,8,10200,Female,No,Administrative
30600,15,16500,Male,Yes,Administrative
28950,15,15000,Male,Yes,Administrative
38400,15,16500,Male,Yes,Administrative
30750,8,15000,Male,Yes,Custodians
20400,12,10950,Female,Yes,Administrative
19200,12,11100,Female,Yes,Administrative
30150,15,15750,Male,No,Administrative
34620,16,27750,Male,No,Administrative
80000,15,15750,Male,No,Administrative
25350,12,15000,Male,No,Administrative
29850,12,15750,Male,No,Administrative
24000,12,13800,Female,No,Administrative
27750,15,19500,Female,No,Administrative
22350,8,10200,Female,No,Administrative
16200,12,10200,Female,No,Administrative
21900,15,12750,Female,No,Administrative
23250,16,15750,Female,No,Administrative
33900,12,12000,Female,No,Administrative
25650,15,14250,Female,No,Administrative
17250,12,10200,Female,No,Administrative
22500,15,15000,Male,Yes,Administrative
40200,16,21000,Male,No,Management
55500,19,33750,Male,No,Management
26550,15,15000,Male,No,Administrative
50550,15,19500,Male,No,Administrative
75000,19,31500,Male,No,Management
27450,8,12000,Female,No,Administrative
22650,12,11250,Female,No,Administrative
27300,12,11250,Female,No,Administrative
27750,12,11225,Female,No,Administrative
54375,16,18750,Female,No,Management
17400,8,10200,Female,No,Administrative
40800,12,18000,Female,No,Administrative
23100,12,10950,Female,No,Administrative
22500,8,10950,Female,No,Administrative
26700,12,11550,Female,No,Administrative
24900,12,11250,Female,No,Administrative
19650,12,10950,Female,No,Administrative
22050,12,10950,Female,No,Administrative
25500,12,12000,Female,No,Administrative
28200,15,12750,Female,No,Administrative
23100,12,11250,Female,No,Administrative
25500,12,11400,Male,Yes,Administrative
17100,8,10200,Female,Yes,Administrative
68125,18,32490,Male,No,Management
30600,12,15750,Male,No,Custodians
52125,19,27480,Male,No,Management
61875,19,36750,Male,No,Management
21300,8,11550,Male,No,Administrative
19650,12,11250,Female,No,Administrative
22350,12,11250,Female,No,Administrative
23400,12,11250,Female,No,Administrative
24300,12,10950,Female,No,Administrative
28500,12,11250,Female,No,Administrative
19950,12,11250,Female,No,Administrative
23400,12,11250,Female,No,Administrative
34500,16,17250,Female,No,Administrative
18150,12,10950,Female,No,Administrative
22350,12,15000,Male,Yes,Administrative
40200,15,17250,Male,No,Administrative
28650,15,18000,Male,No,Administrative
27750,15,16500,Male,No,Administrative
66875,18,31980,Male,No,Administrative
30000,12,15750,Male,No,Custodians
83750,16,21750,Male,No,Management
33900,12,16500,Male,No,Administrative
56500,16,21000,Male,No,Management
43000,16,17490,Female,No,Management
20850,8,12000,Female,No,Administrative
24450,12,12000,Female,No,Administrative
24750,12,10950,Female,No,Administrative
34500,8,15750,Male,Yes,Custodians
27900,14,15000,Male,Yes,Administrative
68125,19,32010,Male,No,Management
73500,19,33000,Male,No,Management
30750,8,15750,Male,No,Custodians
40050,15,25500,Male,No,Management
40350,16,19500,Male,No,Administrative
38700,15,23730,Male,No,Management
65000,17,30750,Male,No,Management
51450,18,36240,Male,No,Management
35250,12,15750,Male,No,Custodians
25950,14,15000,Male,No,Administrative
25050,15,14250,Male,No,Administrative
26700,12,12750,Male,No,Administrative
24000,8,15750,Male,No,Administrative
26850,12,15000,Male,No,Administrative
23400,12,15300,Female,No,Administrative
24600,12,13500,Female,No,Administrative
32550,15,18000,Female,No,Administrative
26550,16,15000,Male,Yes,Administrative
31500,12,13500,Male,Yes,Administrative
22350,8,15000,Male,Yes,Administrative
35250,12,15750,Male,Yes,Custodians
25800,15,13500,Female,Yes,Administrative
30750,12,15750,Male,No,Custodians
30750,15,16500,Male,No,Administrative
50000,16,32490,Male,No,Management
34500,15,18000,Male,No,Administrative
26250,15,15750,Male,No,Administrative
44875,16,21240,Male,No,Administrative
22500,12,12000,Female,No,Administrative
25650,12,14250,Female,No,Administrative
21300,12,11250,Female,No,Administrative
29850,12,13500,Female,No,Administrative
34500,12,12150,Female,No,Administrative
27750,15,15000,Male,Yes,Administrative
27750,12,11550,Male,Yes,Administrative
48750,16,21990,Male,No,Management
43410,15,15750,Male,No,Administrative
22050,12,15000,Male,No,Administrative
22050,12,12000,Female,No,Administrative
22500,12,14250,Female,No,Administrative
25500,15,12000,Female,No,Administrative
29160,12,15000,Female,No,Administrative
16800,8,10200,Female,No,Administrative
29550,8,15750,Male,Yes,Custodians
26700,12,15750,Male,Yes,Administrative
55000,18,32490,Male,No,Management
62500,18,34980,Male,No,Management
27300,15,17250,Male,No,Administrative
24450,12,12000,Female,No,Administrative
33000,16,18000,Female,No,Administrative
37050,15,18000,Female,No,Administrative
24450,12,10950,Female,Yes,Administrative
31950,8,15750,Male,No,Custodians
47250,16,21240,Male,No,Management
26100,12,11550,Female,No,Administrative
15900,8,10200,Female,No,Administrative
23700,8,10650,Female,No,Administrative
21750,8,12450,Female,No,Administrative
59400,12,33750,Male,Yes,Management
24450,12,14250,Female,Yes,Administrative
103500,16,60000,Male,No,Management
35700,12,16500,Male,No,Administrative
22200,12,16500,Female,No,Administrative
22950,15,13950,Female,No,Administrative
23100,12,12000,Female,No,Administrative
56750,16,30000,Female,No,Management
29100,17,12750,Female,No,Administrative
37650,12,15750,Female,No,Administrative
27900,12,13500,Female,No,Administrative
21150,8,12000,Female,No,Administrative
31200,12,15750,Male,Yes,Custodians
20550,12,11250,Female,Yes,Administrative
25950,15,17250,Male,No,Administrative
28350,15,15000,Male,No,Administrative
17700,8,10200,Female,No,Administrative
23550,15,13500,Female,No,Administrative
19950,12,10200,Female,No,Administrative
29400,12,15300,Female,No,Administrative
28800,12,13950,Female,No,Administrative
16950,8,10200,Female,No,Administrative
35700,16,18000,Male,Yes,Administrative
17400,12,10200,Female,Yes,Administrative
21450,8,10200,Female,Yes,Administrative
24750,12,12000,Female,Yes,Administrative
16950,12,10200,Female,Yes,Administrative
26100,12,13500,Female,Yes,Administrative
28050,14,15000,Male,No,Administrative
36600,16,18000,Female,No,Administrative
58125,16,18000,Female,No,Management
21300,15,15750,Male,No,Administrative
22500,12,16500,Male,No,Administrative
29400,15,15750,Male,No,Administrative
27450,12,14700,Male,No,Administrative
29850,15,15750,Male,No,Administrative
25350,15,15750,Male,No,Administrative
15750,8,10200,Female,No,Administrative
19650,8,13050,Female,No,Administrative
21000,12,13500,Female,No,Administrative
27000,17,18000,Male,Yes,Administrative
24000,12,15750,Male,Yes,Administrative
78500,17,28740,Male,Yes,Management
20850,12,13050,Female,Yes,Administrative
30000,12,15750,Male,No,Custodians
28500,8,15750,Male,No,Custodians
65000,19,31980,Male,No,Management
30150,14,16500,Male,No,Administrative
66875,19,32490,Male,No,Management
24150,15,13500,Female,No,Administrative
24450,12,12450,Female,No,Administrative
21600,12,12000,Female,No,Administrative
27900,12,12450,Female,No,Administrative
29100,8,12450,Female,No,Administrative
22650,12,11250,Female,No,Administrative
20850,12,11250,Female,No,Administrative
22950,12,12300,Female,No,Administrative
30600,12,12450,Female,No,Administrative
20400,12,11250,Female,No,Administrative
23850,12,12750,Female,No,Administrative
22800,12,11250,Female,No,Administrative
20700,12,11250,Female,No,Administrative
21300,12,11250,Female,Yes,Administrative
24300,12,15000,Female,Yes,Administrative
19650,12,13950,Female,Yes,Administrative
60000,17,32490,Male,No,Management
30300,15,15750,Male,No,Administrative
61250,19,33000,Male,No,Management
36000,19,19500,Male,No,Administrative
25200,8,18750,Female,No,Administrative
16200,12,10200,Female,No,Administrative
22800,12,11250,Female,No,Administrative
43500,16,19500,Female,No,Management
30300,8,15750,Male,Yes,Custodians
31950,15,15750,Male,Yes,Administrative
35250,15,13500,Male,No,Administrative
37800,15,15000,Male,No,Administrative
31200,15,15750,Male,No,Administrative
29400,15,16500,Male,No,Administrative
70000,19,35040,Male,No,Management
33900,15,15750,Male,No,Administrative
27150,15,16500,Male,No,Administrative
22200,12,13800,Female,No,Administrative
31350,15,11100,Female,No,Administrative
20850,12,13500,Female,No,Administrative
33300,16,17490,Male,Yes,Administrative
26250,8,16050,Male,Yes,Administrative
31950,15,15750,Male,Yes,Administrative
30000,8,15750,Male,Yes,Custodians
66250,19,34980,Male,Yes,Management
86250,18,45000,Male,No,Management
30750,12,15000,Male,No,Administrative
33540,12,15750,Male,No,Administrative
34950,16,20250,Male,No,Administrative
40350,15,16500,Male,No,Administrative
30270,12,15750,Male,No,Administrative
26250,8,16050,Male,No,Administrative
32400,15,15000,Male,No,Administrative
20400,12,11250,Female,No,Administrative
24150,8,12750,Female,No,Administrative
23850,15,13500,Female,No,Administrative
29700,12,13500,Female,No,Administrative
21600,8,13500,Female,No,Administrative
24450,12,15750,Female,No,Administrative
28050,15,16500,Male,Yes,Administrative
100000,16,44100,Male,Yes,Management
49000,15,20550,Male,Yes,Administrative
16350,12,10200,Female,Yes,Administrative
70000,16,21750,Male,No,Management
55000,19,34980,Male,No,Management
28500,15,14250,Male,No,Administrative
28800,12,18000,Male,No,Administrative
24450,15,15750,Male,No,Administrative
90625,19,31250,Male,No,Management
43650,16,19500,Male,No,Management
75000,19,42510,Male,No,Management
31650,15,14250,Male,No,Administrative
61875,19,28740,Male,No,Management
21750,12,11250,Female,No,Administrative
22500,12,12750,Female,No,Administrative
21600,8,13500,Female,No,Administrative
34410,16,19500,Female,No,Management
20700,15,14250,Female,No,Administrative
47550,19,33000,Male,No,Management
33900,12,16500,Male,No,Administrative
23400,12,13500,Female,No,Administrative
32850,16,19500,Female,No,Administrative
55750,16,19980,Female,No,Management
25200,15,13950,Female,No,Administrative
26250,12,15750,Male,Yes,Administrative
26400,15,15750,Male,Yes,Administrative
39150,15,15750,Male,No,Administrative
21450,12,12750,Female,No,Administrative
29400,12,14250,Female,No,Administrative
