spell,censor1,censor2,censor3,censor4,ui,reprate,logwage,tenure,disrate,slack,abolpos,explose,stateur,houshead,married,female,child,ychild,nonwhite,age,schlt12,schgt12,smsa,bluecoll,mining,constr,transp,trade,fire,services,pubadmin,year85,year87,year89,midatl,encen,wncen,southatl,escen,wscen,mountain,pacific
3,0,0,0,1,1,.51999998,4.9558272,0,.13,0,0,1,6.6000004,1,0,1,0,0,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,.51999998,5.2882671,0,.13,1,0,0,6.6000004,1,1,0,1,1,0,20,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,.498,5.8749309,14,.124,0,0,0,6.6000004,1,1,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,1,0,0,1,.31999999,6.3153582,10,.079999998,0,0,1,6.6000004,1,0,0,0,0,0,38,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,.373,6.1612072,10,.093000002,0,0,1,6.6000004,0,0,0,0,0,0,38,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,.51999998,4.7361984,0,.13,0,0,1,6.6000004,0,1,1,0,0,0,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,0,.51999998,5.46806,2,.13,1,0,0,6.6000004,1,1,0,1,1,0,26,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,0,1,1,.51999998,5.6489744,8,.13,1,0,0,6.6000004,0,0,0,0,0,0,44,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,.51999998,5.1590552,7,.13,0,1,0,6.6000004,1,1,0,1,0,0,52,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,1,.51999998,5.6489744,10,.13,1,0,0,6.6000004,1,1,0,1,1,1,30,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,0,0,0,.51999998,4.7791233,0,.13,0,0,0,6.6000004,0,0,1,0,0,0,47,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,0,0,0,0,1,.29899999,6.3851943,2,.075000003,0,0,0,6.6000004,1,1,0,1,0,0,43,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,1,0,0,0,0,.51999998,5.2882671,1,.13,0,0,0,6.6000004,0,1,1,1,0,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,.51999998,5.5333896,1,.13,1,0,0,6.6000004,0,0,0,0,0,0,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0,0,1,0,1,.373,6.1612072,3,.093000002,0,0,1,6.6000004,1,0,1,0,0,0,33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,0,.51999998,5.5333896,7,.13,0,1,0,6.6000004,1,1,0,1,0,0,45,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,.51999998,5.6240177,4,.13,0,0,1,6.6000004,1,0,0,0,0,0,37,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,.22400001,6.6720328,12,.056000002,0,0,1,6.6000004,1,1,0,1,0,0,47,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,1,.498,5.8749309,2,.124,0,0,0,6.6000004,1,0,1,0,0,0,27,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,.51999998,5.6240177,0,.13,0,0,1,6.6000004,1,1,0,0,0,0,42,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,0,.112,7.3645473,3,.028000001,0,0,1,6.6000004,1,1,0,1,0,0,44,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,0,0,1,1,.31999999,6.3153582,11,.079999998,0,0,1,6.6000004,0,1,1,1,1,0,31,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,0,0,0,1,0,.51999998,5.7557421,2,.13,1,0,0,6.6000004,0,0,0,0,0,0,29,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,1,0,.51999998,5.2882671,1,.13,0,0,1,6.6000004,0,1,1,0,0,1,24,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,1,.51999998,5.556828,9,.13,0,1,0,6.6000004,1,1,1,1,0,0,36,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,.51999998,5.46806,0,.13,1,0,0,6.6000004,1,0,1,0,0,0,39,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,.27700001,6.4583383,2,.068999998,1,0,1,6.6000004,1,1,0,0,0,0,44,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,1,0,0,0,0,.509,5.8522024,8,.127,1,0,1,6.6000004,0,0,0,0,0,0,29,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,1,0,.44800001,5.9788857,2,.112,0,1,1,6.6000004,1,0,1,0,0,0,33,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,1,.51999998,5.46806,0,.13,1,0,1,6.6000004,1,0,0,1,1,0,35,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,1,1,.40700001,6.075346,20,.102,0,1,0,6.6000004,1,0,0,0,0,0,43,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,0,1,0,0,.44800001,5.9788857,2,.112,1,0,0,6.6000004,1,0,1,1,0,0,43,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,1,.38499999,6.1312265,1,.096000001,0,1,0,6.6000004,1,0,0,0,0,0,27,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,0,0,0,0,1,.51999998,5.2257466,1,.13,0,0,1,6.6000004,1,0,1,1,1,1,28,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,.51999998,5.5333896,2,.13,1,0,0,6.6000004,1,0,1,0,0,0,34,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,0,1,1,.44800001,5.9788857,5,.112,0,0,0,6.6000004,0,0,1,0,0,0,29,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
14,1,0,0,0,1,.51999998,5.3612924,0,.13,1,0,0,6.6000004,0,0,1,1,0,0,21,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,.51999998,5.46806,2,.13,0,0,1,6.6000004,1,0,0,0,0,0,22,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,1,.498,5.8749309,3,.124,1,0,1,6.6000004,0,1,1,1,1,1,27,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19,0,0,0,1,1,.49200001,5.8833222,3,.123,0,1,1,6.6000004,1,1,0,1,0,0,46,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,1,.51999998,5.7557421,2,.13,1,0,1,6.6000004,0,1,1,1,1,0,26,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,1,.345,6.2422233,2,.086000003,1,0,1,6.6000004,1,1,0,1,1,0,27,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1,0,0,0,0,.498,5.8749309,5,.124,0,0,1,6.6000004,0,1,1,1,1,0,29,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,0,0,0,1,1,.51999998,5.5645204,3,.13,1,0,1,6.6000004,1,1,0,1,1,0,48,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,.51999998,5.0625949,0,.13,1,0,0,6.6000004,1,0,0,1,1,0,30,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,0,1,0,.51999998,5.6903596,3,.13,1,0,1,6.6000004,1,1,0,1,0,0,40,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,.51999998,5.3981628,0,.13,1,0,0,6.6000004,1,0,0,1,0,0,44,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,1,.51999998,5.6629605,2,.13,0,0,1,6.6000004,1,1,0,1,0,0,42,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,.51999998,5.46806,2,.13,1,0,0,6.6000004,1,1,0,1,0,0,52,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1,0,0,0,1,.51999998,4.9126549,3,.13,1,0,1,6.6000004,0,0,0,0,0,0,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,0,1,0,0,.51999998,5.5333896,0,.13,1,0,0,6.6000004,1,1,0,1,1,0,23,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,1,1,.51999998,5.1119876,0,.13,0,1,1,6.6000004,1,1,0,1,1,1,25,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7,1,0,0,0,1,.20100001,6.7810578,2,.050000001,0,1,1,6.6000004,1,1,0,0,0,0,50,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,0,0,0,1,.329,6.2859979,0,.082000002,0,1,1,6.6000004,1,0,0,0,0,0,28,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,0,0,0,.51999998,5.2882671,0,.13,1,0,0,6.6000004,0,0,0,0,0,0,30,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,0,0,0,1,1,.51999998,5.46806,1,.13,0,1,1,6.6000004,1,0,1,1,0,1,27,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,0,.51999998,5.817111,3,.13,1,0,0,6.6000004,0,1,1,0,0,0,48,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1,0,0,0,0,.51999998,5.5333896,1,.13,0,0,0,6.6000004,0,0,0,1,0,0,22,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,1,0,0,.51999998,4.89784,1,.13,1,0,0,6.6000004,0,0,0,1,0,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,.41499999,6.0567842,3,.104,1,0,0,6.6000004,1,1,0,1,1,0,23,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,0,1,0,0,0,.51999998,5.7557421,1,.13,0,0,0,6.6000004,0,0,0,0,0,0,26,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1,0,0,0,1,.51999998,5.5174527,1,.13,1,0,0,6.6000004,0,0,1,0,0,0,24,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,0,0,1,0,.51999998,4.8362818,0,.13,0,0,0,6.6000004,0,0,0,0,0,1,38,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,1,.51999998,5.2882671,2,.208,0,0,1,6.9000001,0,0,0,0,0,0,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0,1,0,.51999998,5.46806,0,.208,0,0,1,6.9000001,0,0,0,0,0,0,20,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,1,1,.51999998,5.6240177,0,.208,1,0,0,6.9000001,1,1,0,1,0,0,36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,1,1,.16599999,7.2320104,5,.067000002,1,0,0,6.9000001,1,1,0,1,1,0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,0,1,.51999998,4.89784,6,.208,0,0,0,6.9000001,0,1,1,0,0,0,58,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,1,0,.51999998,5.9788857,10,.208,0,1,0,6.9000001,0,1,1,0,0,0,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
5,1,0,0,0,1,.51999998,5.7557421,1,.208,1,0,1,6.9000001,1,1,0,0,0,0,20,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,1,0,0,0,1,.51999998,5.9788857,7,.208,1,0,0,6.9000001,1,1,0,0,0,0,47,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,0,0,0,1,0,.51999998,5.46806,1,.208,1,0,1,6.9000001,0,0,1,0,0,1,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,1,0,0,0,1,.51999998,5.1817837,5,.208,0,0,1,6.9000001,0,0,0,0,0,1,41,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,1,1,.153,7.3138866,14,.061000001,0,1,1,6.9000001,1,1,0,1,0,0,46,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,.189,7.1024995,23,.075999998,0,1,1,6.9000001,1,1,0,0,0,0,54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,1,.51999998,5.817111,13,.208,1,0,1,6.9000001,1,0,0,0,0,1,32,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,1,1,.51999998,5.7557421,0,.208,1,0,1,6.9000001,1,0,0,0,0,1,44,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,0,0,0,1,1,.51999998,5.7557421,0,.208,1,0,1,6.9000001,0,0,1,0,0,1,47,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,1,0,0,0,1,.51999998,5.9788857,5,.208,0,0,1,6.9000001,1,1,0,1,1,0,34,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,1,0,0,.51999998,5.7557421,3,.208,1,0,1,6.9000001,1,1,0,0,0,0,34,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,0,0,0,1,0,.51999998,5.2882671,1,.208,1,0,0,6.9000001,0,0,0,0,0,1,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,1,1,.51999998,5.32301,0,.208,1,0,0,6.9000001,0,1,1,0,0,0,52,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,0,1,1,.51999998,5.7557421,2,.208,1,0,0,6.9000001,0,0,0,0,0,0,25,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
3,1,0,0,0,1,.51999998,5.8522024,28,.208,0,0,1,6.9000001,0,1,1,0,0,0,58,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,0,0,1,.32300001,6.5666723,5,.12899999,0,0,1,6.9000001,1,0,0,0,0,0,49,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,1,0,0,1,.51999998,5.6629605,2,.208,1,0,0,6.9000001,1,0,1,1,0,0,49,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,0,0,.51999998,5.7037826,1,.208,0,1,0,6.9000001,1,0,0,0,0,0,25,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
14,1,0,0,0,1,.48500001,6.1612072,11,.19400001,1,0,0,6.9000001,0,0,1,0,0,0,29,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
14,0,0,0,1,1,.29100001,6.6720328,3,.116,1,0,0,6.9000001,1,1,0,1,0,0,56,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,0,1,.51999998,5.0625949,1,.208,0,1,0,6.9000001,0,0,1,1,1,0,28,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,1,0,0,0,0,.51999998,6.075346,3,.208,0,0,0,6.9000001,1,0,0,0,0,0,37,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,0,0,0,1,1,.51999998,5.7557421,0,.208,1,0,0,6.9000001,0,1,0,0,0,0,38,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1,0,0,0,1,.51999998,5.46806,3,.208,0,0,1,6.9000001,0,1,1,0,0,0,27,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,1,0,0,1,.51999998,5.8377304,1,.208,1,0,0,6.9000001,1,1,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,1,1,.51999998,5.5333896,0,.208,1,0,1,6.9000001,0,0,1,0,0,0,51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,0,1,1,.51999998,5.46806,0,.208,1,0,0,6.9000001,0,0,0,0,0,0,21,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16,0,0,0,1,0,.51999998,5.9375362,3,.208,1,0,0,6.9000001,0,0,0,0,0,0,24,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,0,0,1,0,.51999998,5.2882671,0,.208,1,0,0,6.9000001,0,0,0,0,0,0,22,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,1,1,.48500001,6.1612072,0,.19400001,1,0,0,6.9000001,1,0,0,0,0,0,24,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,1,0,0,0,1,.51999998,5.3981628,13,.208,0,0,1,6.9000001,1,1,0,0,0,0,33,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,1,1,.51999998,5.5606818,2,.208,0,0,1,6.9000001,1,0,1,1,0,0,44,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,0,.51999998,5.46806,1,.208,1,0,1,6.9000001,1,0,0,0,0,0,36,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,1,0,1,.46599999,6.2025356,2,.186,1,0,1,6.9000001,1,1,0,1,1,0,37,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,1,.51999998,5.5333896,2,.208,1,0,1,6.9000001,1,0,0,0,0,0,30,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,0,0,0,1,1,.51999998,5.3132062,1,.208,1,0,1,6.9000001,0,0,0,0,0,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,1,0,0,0,1,.51999998,5.7137327,3,.208,0,0,0,6.9000001,0,1,1,0,0,0,45,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,0,.51999998,4.7791233,1,.208,1,0,1,6.9000001,1,1,0,1,0,0,36,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,0,0,0,1,1,.51999998,5.3981628,0,.208,1,0,0,6.9000001,1,0,0,0,0,0,31,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,0,0,0,1,1,.51999998,5.46806,5,.208,1,0,1,6.9000001,0,1,1,0,0,0,29,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,0,1,0,1,.51999998,5.6903596,17,.208,0,0,0,6.9000001,0,1,1,0,0,0,38,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
12,1,0,0,0,1,.42500001,6.2934194,5,.17,0,1,0,6.9000001,1,0,0,0,0,0,37,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,0,0,0,1,1,.51999998,5.2882671,1,.208,1,0,0,6.9000001,0,0,1,1,0,0,20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
4,1,0,0,0,0,.51999998,5.1817837,1,.208,0,1,1,6.9000001,0,0,1,0,0,0,25,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,1,0,0,0,1,.51999998,5.6489744,4,.208,1,0,1,6.9000001,0,0,1,0,0,0,23,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,0,1,0,0,1,.51999998,5.8749309,3,.208,1,0,1,6.9000001,0,0,0,0,0,0,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,0,0,0,1,1,.51999998,5.9788857,7,.208,1,0,1,6.9000001,1,1,0,1,1,0,26,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,1,.51999998,5.817111,17,.208,1,0,1,6.9000001,1,0,0,0,0,0,43,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
24,0,0,0,1,1,.51999998,5.7960577,9,.208,0,0,1,6.9000001,1,1,0,0,0,0,36,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,0,0,0,1,1,.51999998,5.3981628,3,.208,1,0,0,6.9000001,0,0,0,1,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,0,1,0,0,1,.49000001,5.2882671,0,.245,0,0,1,7.0999999,1,0,0,0,0,0,45,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,1,.447,5.8971539,26,.223,1,0,1,7.0999999,1,1,0,0,0,0,60,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,1,.41499999,5.971262,8,.208,0,1,1,7.0999999,0,1,1,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,1,0,0,0,0,.229,6.5666723,12,.114,0,1,0,7.0999999,1,1,0,1,0,0,44,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,1,.34299999,6.1612072,8,.17200001,1,0,0,7.0999999,1,0,0,0,0,0,52,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,0,0,1,1,.46799999,5.8522024,2,.234,0,0,1,7.0999999,1,1,0,1,0,0,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,0,0,1,0,1,.317,6.2422233,1,.15800001,1,0,1,7.0999999,1,1,0,0,0,0,55,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
