"ID","Item"
12,"iron maiden"
12,"bob dylan"
12,"kiss"
12,"ac/dc"
12,"tenacious d"
12,"aerosmith"
12,"ennio morricone"
12,"scorpions"
12,"bruce springsteen"
12,"dire straits"
12,"guns n roses"
12,"inxs"
12,"rammstein"
13,"thom yorke"
13,"tom waits"
13,"the notwist"
13,"einsturzende neubauten"
13,"the flaming lips"
13,"billie holiday"
13,"the books"
14,"sonic youth"
14,"the fall"
14,"mogwai"
14,"the velvet underground"
14,"stereolab"
14,"my bloody valentine"
14,"the radio dept."
14,"the kinks"
18,"sonata arctica"
18,"infected mushroom"
18,"iron maiden"
18,"creedence clearwater revival"
18,"nightwish"
18,"mindless self indulgence"
18,"electric light orchestra"
18,"john williams"
18,"michael jackson"
18,"fleetwood mac"
18,"aphex twin"
19,"the kills"
19,"a perfect circle"
19,"crystal castles"
19,"beck"
19,"coldplay"
19,"kent"
19,"interpol"
19,"nine inch nails"
19,"sonic youth"
19,"beirut"
19,"gorillaz"
19,"mgmt"
19,"the radio dept."
19,"hakan hellstrom"
19,"the kooks"
19,"klaxons"
19,"fischerspooner"
19,"bob marley & the wailers"
19,"portishead"
19,"sex pistols"
19,"iron & wine"
19,"the shins"
19,"yo la tengo"
19,"the libertines"
19,"thom yorke"
19,"royksopp"
19,"animal collective"
19,"nouvelle vague"
19,"jose gonzalez"
19,"bloc party"
19,"ladytron"
19,"placebo"
19,"le tigre"
19,"n*e*r*d"
19,"cut copy"
19,"daft punk"
19,"cocorosie"
19,"the wombats"
19,"mum"
19,"the postal service"
19,"franz ferdinand"
20,"of montreal"
20,"the magnetic fields"
20,"devo"
20,"talking heads"
20,"fall out boy"
20,"pinback"
20,"cocorosie"
20,"regina spektor"
20,"interpol"
20,"beck"
20,"the dandy warhols"
20,"the mountain goats"
20,"radiohead"
20,"ratatat"
20,"clap your hands say yeah"
20,"the strokes"
20,"pixies"
20,"frank zappa"
20,"david bowie"
20,"architecture in helsinki"
20,"the sounds"
20,"the beatles"
20,"tom waits"
20,"john frusciante"
20,"mgmt"
20,"beirut"
20,"blink-182"
20,"joy division"
22,"the jam"
22,"maximo park"
22,"supergrass"
22,"simon & garfunkel"
22,"paul simon"
22,"blur"
22,"oasis"
22,"snow patrol"
22,"the who"
22,"r.e.m."
22,"arctic monkeys"
22,"babyshambles"
22,"kasabian"
22,"the libertines"
22,"kings of leon"
22,"pulp"
22,"radiohead"
22,"john lennon"
22,"the strokes"
22,"the stone roses"
22,"dirty pretty things"
22,"editors"
22,"paul mccartney"
22,"the cure"
22,"joy division"
22,"the fratellis"
22,"u2"
22,"david bowie"
22,"doves"
22,"the rolling stones"
22,"the prodigy"
22,"new order"
23,"ramones"
23,"the clash"
23,"franz ferdinand"
23,"jamiroquai"
23,"the rolling stones"
23,"the who"
23,"radiohead"
23,"the kinks"
23,"mando diao"
23,"the chemical brothers"
23,"buzzcocks"
23,"the pogues"
24,"the byrds"
24,"leonard cohen"
24,"the beatles"
24,"simon & garfunkel"
24,"queen"
24,"tom waits"
24,"the beach boys"
24,"neil young"
24,"johnny cash"
24,"the kinks"
24,"bruce springsteen"
24,"the rolling stones"
24,"john lennon"
24,"billy joel"
24,"jonas brothers"
25,"fleetwood mac"
25,"madonna"
25,"ladytron"
25,"hooverphonic"
25,"mariah carey"
25,"michael jackson"
25,"garbage"
25,"simple plan"
28,"toto"
28,"the doors"
28,"kent"
28,"the smiths"
28,"pink floyd"
28,"sex pistols"
28,"dropkick murphys"
28,"bob dylan"
28,"pearl jam"
28,"no doubt"
28,"morrissey"
28,"rage against the machine"
28,"various artists"
28,"motley crue"
28,"cypress hill"
28,"the pogues"
28,"miles davis"
28,"the hives"
28,"the police"
28,"tool"
28,"blondie"
28,"jay-z"
28,"jimi hendrix"
28,"moby"
28,"dire straits"
28,"guns n roses"
29,"stereolab"
29,"hot chip"
29,"tortoise"
29,"r.e.m."
29,"david bowie"
29,"new order"
29,"hercules and love affair"
29,"kate bush"
29,"neil young"
29,"of montreal"
29,"animal collective"
29,"portishead"
29,"stevie wonder"
29,"prince"
29,"steely dan"
29,"pet shop boys"
29,"talking heads"
29,"the cure"
29,"depeche mode"
29,"miles davis"
31,"jamiroquai"
31,"tori amos"
31,"jazzanova"
31,"radiohead"
31,"st. germain"
31,"marvin gaye"
31,"moloko"
31,"nightmares on wax"
31,"the verve"
31,"nick cave and the bad seeds"
31,"de-phazz"
31,"blonde redhead"
31,"diana krall"
31,"massive attack"
31,"cocorosie"
31,"dave matthews band"
31,"the smiths"
31,"jamie cullum"
31,"joy division"
31,"porcupine tree"
31,"thievery corporation"
31,"roisin murphy"
32,"nick cave and the bad seeds"
32,"black flag"
32,"the gossip"
32,"Edith piaf"
32,"misfits"
32,"deerhoof"
32,"tom waits"
32,"peaches"
32,"turbonegro"
32,"leonard cohen"
32,"antony and the johnsons"
32,"crystal castles"
32,"the black keys"
32,"minor threat"
32,"of montreal"
32,"devendra banhart"
32,"the zombies"
32,"rufus wainwright"
32,"the doors"
32,"the dresden dolls"
32,"gogol bordello"
32,"the kills"
32,"nouvelle vague"
33,"death cab for cutie"
33,"tegan and sara"
33,"kimya dawson"
33,"die Arzte"
33,"jack johnson"
33,"coldplay"
33,"the kooks"
33,"the fray"
33,"mando diao"
33,"farin urlaub"
33,"a fine frenzy"
33,"die toten hosen"
33,"deichkind"
33,"razorlight"
33,"clueso"
33,"evanescence"
33,"linkin park"
33,"seeed"
33,"three days grace"
33,"cute is what we aim for"
33,"incubus"
33,"buena vista social club"
33,"counting crows"
33,"paolo nutini"
33,"the strokes"
33,"keane"
33,"belle and sebastian"
33,"adam green"
33,"story of the year"
33,"paramore"
33,"nouvelle vague"
33,"ok go"
33,"foo fighters"
34,"the beatles"
34,"u2"
34,"the decemberists"
34,"keane"
34,"blind guardian"
34,"vangelis"
34,"moby"
34,"enya"
34,"johann sebastian bach"
34,"kt tunstall"
34,"led zeppelin"
34,"blackfield"
34,"lifehouse"
34,"elvis presley"
34,"archive"
34,"enigma"
34,"nightwish"
34,"amy macdonald"
34,"robbie williams"
34,"queen"
34,"belle and sebastian"
34,"loreena mckennitt"
34,"the doors"
34,"damien rice"
34,"louis armstrong"
34,"a perfect circle"
34,"manu chao"
35,"radiohead"
35,"the kooks"
35,"coldplay"
35,"nine inch nails"
35,"hot chip"
35,"black rebel motorcycle club"
35,"lcd soundsystem"
35,"kasabian"
35,"n*e*r*d"
35,"editors"
35,"klaxons"
35,"bloc party"
35,"the cinematic orchestra"
35,"depeche mode"
35,"girl talk"
35,"lamb"
35,"cut copy"
35,"2pac"
35,"iamx"
35,"the raconteurs"
35,"antony and the johnsons"
35,"trentemoller"
35,"unkle"
35,"the presets"
35,"the killers"
35,"gorillaz"
35,"moloko"
35,"massive attack"
35,"mgmt"
35,"portishead"
35,"the cardigans"
35,"kylie minogue"
35,"patrick wolf"
36,"m.i.a."
36,"fugazi"
36,"johnny cash"
36,"clint mansell"
36,"elton john"
36,"the beatles"
36,"portishead"
36,"social distortion"
36,"rise against"
36,"depeche mode"
36,"lynyrd skynyrd"
36,"sigur ros"
38,"black eyed peas"
38,"maroon 5"
38,"john legend"
38,"elton john"
38,"mary j. blige"
38,"the ting tings"
38,"mika"
38,"abba"
38,"beyonce"
38,"the beatles"
38,"adele"
38,"santana"
39,"britney spears"
39,"a-ha"
39,"joss stone"
39,"christina aguilera"
39,"hilary duff"
39,"katie melua"
39,"katy perry"
39,"norah jones"
39,"september"
39,"shakira"
39,"leona lewis"
40,"the go! team"
40,"feist"
40,"broken social scene"
40,"interpol"
40,"portishead"
40,"garbage"
40,"oasis"
40,"metric"
40,"stars"
40,"cat power"
40,"andrew bird"
40,"pixies"
40,"coldplay"
40,"kasabian"
40,"kings of convenience"
41,"dream theater"
41,"kreator"
41,"scorpions"
41,"alice in chains"
41,"iron maiden"
41,"satyricon"
41,"metallica"
41,"radiohead"
41,"trivium"
41,"def leppard"
41,"hypocrisy"
42,"soundtrack"
42,"groove coverage"
42,"avril lavigne"
42,"the rasmus"
42,"him"
42,"nightwish"
42,"as i lay dying"
42,"in extremo"
42,"evanescence"
43,"the knife"
43,"of montreal"
43,"john mayer"
43,"nada surf"
43,"fleetwood mac"
43,"jose gonzalez"
43,"blink-182"
43,"say anything"
43,"the get up kids"
43,"camera obscura"
43,"sufjan stevens"
43,"kanye west"
43,"royksopp"
43,"dashboard confessional"
43,"stars"
43,"the weakerthans"
43,"kings of convenience"
43,"van morrison"
43,"band of horses"
43,"sia"
43,"panic at the disco"
43,"coldplay"
43,"justin timberlake"
43,"the hush sound"
43,"arctic monkeys"
43,"jeff buckley"
43,"alkaline trio"
43,"foo fighters"
43,"guided by voices"
43,"anna ternheim"
43,"death cab for cutie"
43,"saves the day"
43,"the killers"
43,"bon iver"
43,"fleet foxes"
43,"the magnetic fields"
43,"fall out boy"
44,"girl talk"
44,"roxette"
44,"kings of leon"
44,"my morning jacket"
44,"beck"
44,"grateful dead"
44,"beastie boys"
44,"arcade fire"
44,"wilco"
44,"the decemberists"
44,"fleetwood mac"
44,"a-ha"
44,"johnny cash"
44,"coldplay"
44,"cut copy"
44,"kelly clarkson"
44,"the beatles"
44,"camera obscura"
44,"cat power"
44,"gnarls barkley"
44,"the national"
44,"pavement"
44,"animal collective"
44,"belle and sebastian"
44,"ben folds"
44,"elvis costello"
44,"modest mouse"
44,"the go! team"
44,"kanye west"
44,"the shins"
44,"the flaming lips"
44,"radiohead"
44,"stars"
45,"the dandy warhols"
45,"the beatles"
45,"the stone roses"
45,"stevie wonder"
45,"devo"
45,"the rolling stones"
45,"new order"
45,"u2"
45,"the smiths"
45,"the who"
45,"talking heads"
45,"elvis presley"
45,"the white stripes"
45,"inxs"
45,"beck"
45,"fatboy slim"
45,"the cure"
45,"morrissey"
45,"r.e.m."
45,"pet shop boys"
45,"sugababes"
45,"the clash"
45,"prince"
45,"depeche mode"
45,"eels"
45,"badly drawn boy"
45,"led zeppelin"
45,"coldplay"
45,"dave matthews band"
45,"marvin gaye"
45,"basement jaxx"
45,"kasabian"
45,"they might be giants"
45,"cake"
46,"radiohead"
46,"bob dylan"
46,"bruce springsteen"
46,"girl talk"
46,"cut copy"
46,"the rolling stones"
46,"green day"
46,"the shins"
46,"red hot chili peppers"
46,"eddie vedder"
46,"counting crows"
46,"new order"
46,"the national"
46,"u2"
46,"paul simon"
46,"air"
46,"the who"
46,"coldplay"
46,"the brian jonestown massacre"
46,"the jesus and mary chain"
46,"the smiths"
46,"feist"
46,"tom petty and the heartbreakers"
46,"death cab for cutie"
46,"mgmt"
46,"incubus"
46,"buena vista social club"
46,"the smashing pumpkins"
46,"the roots"
46,"the cure"
46,"manic street preachers"
46,"the killers"
46,"okkervil river"
46,"r.e.m."
46,"moby"
46,"modest mouse"
46,"led zeppelin"
46,"band of horses"
46,"kanye west"
46,"alicia keys"
46,"outkast"
46,"my morning jacket"
46,"the offspring"
46,"silverchair"
47,"pj harvey"
47,"radiohead"
47,"zero 7"
47,"einsturzende neubauten"
47,"david bowie"
47,"air"
47,"t. rex"
47,"neil young"
47,"portishead"
47,"jefferson airplane"
47,"morcheeba"
47,"pink martini"
47,"devendra banhart"
47,"emiliana torrini"
47,"johnny cash"
47,"depeche mode"
47,"tom waits"
47,"john coltrane"
47,"sia"
47,"nick drake"
47,"blonde redhead"
47,"grateful dead"
47,"bob dylan"
47,"bjork"
47,"the velvet underground"
47,"antony and the johnsons"
47,"kate bush"
47,"nick cave and the bad seeds"
48,"as i lay dying"
48,"skillet"
48,"atreyu"
48,"bullet for my valentine"
48,"disturbed"
48,"parkway drive"
48,"killswitch engage"
48,"papa roach"
48,"the used"
48,"rammstein"
48,"david guetta"
48,"sum 41"
48,"trivium"
48,"deathstars"
48,"scar symmetry"
48,"the prodigy"
48,"rise against"
48,"eminem"
48,"children of bodom"
50,"the ataris"
50,"yann tiersen"
50,"the smashing pumpkins"
50,"carla bruni"
50,"the cure"
50,"joy division"
50,"placebo"
50,"patrick wolf"
50,"blink-182"
50,"65daysofstatic"
50,"beirut"
50,"nirvana"
50,"blonde redhead"
50,"underoath"
50,"regina spektor"
50,"yeah yeah yeahs"
50,"bauhaus"
50,"mew"
50,"taking back sunday"
50,"sigur ros"
50,"god is an astronaut"
50,"metric"
50,"iron & wine"
50,"anna ternheim"
50,"the fray"
50,"the shins"
50,"ray lamontagne"
50,"radiohead"
50,"hellogoodbye"
50,"klaxons"
51,"kate nash"
51,"arctic monkeys"
51,"lykke li"
51,"adele"
51,"tegan and sara"
51,"the ting tings"
51,"the fratellis"
51,"paolo nutini"
51,"phoenix"
51,"kings of leon"
51,"beatsteaks"
51,"lily allen"
51,"maximo park"
51,"hard-fi"
51,"the wombats"
51,"the pipettes"
51,"klaxons"
51,"the pigeon detectives"
51,"mando diao"
51,"incubus"
51,"duffy"
51,"razorlight"
51,"mgmt"
51,"billy talent"
51,"santogold"
51,"clueso"
51,"nada surf"
51,"the last shadow puppets"
55,"animal collective"
55,"fleet foxes"
55,"notorious b.i.g."
55,"devendra banhart"
55,"bon iver"
55,"venetian snares"
55,"bonnie prince billy"
55,"deerhoof"
55,"tokyo police club"
55,"explosions in the sky"
55,"mum"
55,"modest mouse"
55,"godspeed you! black emperor"
55,"stevie wonder"
55,"m83"
55,"the blood brothers"
56,"j dilla"
56,"common"
56,"burial"
56,"jedi mind tricks"
56,"daft punk"
56,"lil wayne"
56,"patrick wolf"
56,"notorious b.i.g."
58,"john frusciante"
58,"morrissey"
58,"against me!"
58,"in flames"
58,"lamb of god"
58,"the smiths"
58,"flogging molly"
58,"the rolling stones"
58,"red hot chili peppers"
58,"the hellacopters"
58,"the roots"
58,"the black keys"
58,"dire straits"
58,"children of bodom"
59,"the libertines"
59,"the zombies"
59,"beirut"
59,"band of horses"
59,"arctic monkeys"
59,"adam green"
59,"the strokes"
62,"beatsteaks"
62,"clueso"
62,"the kooks"
62,"die Arzte"
62,"plain white ts"
62,"robyn"
62,"bohse onkelz"
62,"red hot chili peppers"
62,"30 seconds to mars"
62,"justin timberlake"
62,"razorlight"
62,"billy talent"
62,"the subways"
62,"kanye west"
62,"[unknown]"
62,"kings of leon"
62,"john legend"
62,"blink-182"
62,"deichkind"
62,"stone sour"
63,"ministry"
63,"turbonegro"
63,"paradise lost"
63,"katatonia"
63,"pj harvey"
63,"deftones"
63,"parkway drive"
63,"danny elfman"
63,"marilyn manson"
63,"amorphis"
63,"the dillinger escape plan"
63,"massive attack"
63,"opeth"
63,"sigur ros"
63,"strapping young lad"
63,"placebo"
63,"muse"
63,"apocalyptica"
63,"type o negative"
63,"sentenced"
63,"beastie boys"
63,"the birthday massacre"
63,"garbage"
63,"misfits"
63,"system of a down"
64,"apparat"
64,"drowning pool"
64,"armin van buuren"
64,"alexisonfire"
64,"chicane"
64,"30 seconds to mars"
64,"ghostface"
64,"death cab for cutie"
64,"imogen heap"
64,"trentemoller"
64,"placebo"
64,"underworld"
66,"loreena mckennitt"
66,"garbage"
66,"joni mitchell"
66,"amy macdonald"
66,"sufjan stevens"
66,"death cab for cutie"
66,"frou frou"
66,"a fine frenzy"
66,"a perfect circle"
66,"damien rice"
66,"dido"
67,"pixies"
67,"radiohead"
67,"spoon"
67,"belle and sebastian"
67,"the kinks"
67,"eels"
67,"beck"
67,"modest mouse"
67,"talking heads"
67,"the jimi hendrix experience"
67,"the roots"
67,"jack johnson"
67,"the white stripes"
67,"the clash"
67,"elliott smith"
67,"pink floyd"
67,"adam green"
67,"david bowie"
67,"stars"
67,"ramones"
67,"joy division"
67,"t. rex"
67,"pinback"
67,"pavement"
67,"bob dylan"
67,"peter bjorn and john"
67,"the dandy warhols"
67,"red hot chili peppers"
67,"my bloody valentine"
67,"nirvana"
67,"the jesus and mary chain"
67,"buzzcocks"
67,"lcd soundsystem"
67,"the new pornographers"
67,"sublime"
67,"sonic youth"
67,"sufjan stevens"
67,"beastie boys"
67,"creedence clearwater revival"
69,"ghostface"
69,"explosions in the sky"
69,"nas"
69,"deerhoof"
69,"a tribe called quest"
69,"sigur ros"
69,"mf doom"
69,"cocorosie"
69,"broken social scene"
69,"mogwai"
69,"sufjan stevens"
69,"the blood brothers"
69,"joanna newsom"
69,"m83"
69,"gang starr"
69,"mos def"
69,"the notwist"
69,"thursday"
69,"cursive"
69,"boards of canada"
69,"regina spektor"
69,"de la soul"
69,"isis"
69,"cat power"
69,"talib kweli"
69,"the faint"
69,"dashboard confessional"
69,"interpol"
70,"era"
70,"avril lavigne"
70,"linkin park"
70,"hilary duff"
70,"the cardigans"
70,"the fray"
70,"the corrs"
70,"lifehouse"
70,"paramore"
70,"the rasmus"
70,"goo goo dolls"
70,"snow patrol"
70,"the all-american rejects"
70,"3 doors down"
70,"avenged sevenfold"
70,"staind"
70,"bon jovi"
70,"kt tunstall"
70,"u2"
70,"pink"
70,"coldplay"
70,"bryan adams"
70,"him"
70,"madonna"
70,"muse"
70,"the cranberries"
70,"tenacious d"
70,"t.a.t.u."
70,"simple plan"
70,"keane"
70,"aerosmith"
70,"hammerfall"
70,"green day"
71,"joy division"
71,"the smiths"
71,"animal collective"
71,"air"
71,"bon iver"
71,"spoon"
71,"sufjan stevens"
71,"radiohead"
71,"arcade fire"
71,"jose gonzalez"
71,"belle and sebastian"
71,"cocorosie"
71,"bob dylan"
71,"my bloody valentine"
71,"the beatles"
71,"sigur ros"
71,"the cure"
71,"johnny cash"
71,"nouvelle vague"
71,"of montreal"
73,"groove armada"
73,"nightmares on wax"
73,"emiliana torrini"
73,"de-phazz"
73,"mr. scruff"
73,"tosca"
73,"koop"
74,"in extremo"
74,"nine inch nails"
74,"billy talent"
74,"panic! at the disco"
74,"the ataris"
74,"hoobastank"
74,"disturbed"
74,"kasabian"
74,"the used"
74,"dragonforce"
74,"muse"
74,"bloc party"
74,"the sounds"
74,"nickelback"
74,"sirenia"
74,"she wants revenge"
74,"nightwish"
74,"lagwagon"
74,"the strokes"
74,"him"
74,"korpiklaani"
75,"rise against"
75,"linkin park"
75,"benny benassi"
75,"paramore"
75,"atb"
75,"alexisonfire"
75,"scooter"
75,"caliban"
75,"clueso"
75,"breaking benjamin"
75,"flyleaf"
75,"30 seconds to mars"
75,"daft punk"
75,"billy talent"
76,"andrew bird"
76,"beirut"
76,"eagles of death metal"
76,"the black keys"
76,"sufjan stevens"
76,"the white stripes"
76,"ani difranco"
76,"architecture in helsinki"
76,"final fantasy"
76,"the national"
76,"pj harvey"
76,"bat for lashes"
76,"feist"
76,"lamb"
76,"kate nash"
76,"camera obscura"
76,"joanna newsom"
76,"kings of convenience"
76,"nine inch nails"
76,"broken social scene"
76,"the dresden dolls"
76,"tv on the radio"
76,"arcade fire"
76,"clap your hands say yeah"
76,"of montreal"
76,"animal collective"
77,"finntroll"
77,"alice in chains"
77,"korpiklaani"
77,"fear factory"
77,"[unknown]"
77,"rammstein"
77,"cannibal corpse"
77,"behemoth"
77,"immortal"
77,"pantera"
77,"bloodbath"
77,"the beach boys"
79,"finntroll"
79,"haggard"
79,"bloodbath"
79,"lacrimosa"
79,"satyricon"
79,"epica"
79,"ensiferum"
79,"the dresden dolls"
79,"eluveitie"
79,"john williams"
79,"apocalyptica"
79,"amorphis"
79,"korpiklaani"
79,"marilyn manson"
79,"arch enemy"
79,"hans zimmer"
79,"cannibal corpse"
79,"him"
79,"nile"
79,"misfits"
79,"sentenced"
80,"senses fail"
80,"bullet for my valentine"
80,"bowling for soup"
80,"millencolin"
80,"story of the year"
80,"good charlotte"
80,"anberlin"
80,"alkaline trio"
80,"simple plan"
80,"the offspring"
80,"goldfinger"
80,"green day"
80,"pennywise"
80,"sum 41"
80,"3 doors down"
80,"p.o.d."
80,"coldplay"
80,"nirvana"
80,"nofx"
80,"blink-182"
80,"guns n roses"
80,"44"
80,"sugarcult"
80,"hoobastank"
80,"disturbed"
80,"u2"
80,"30 seconds to mars"
80,"bad religion"
81,"therion"
81,"muse"
81,"nightwish"
81,"dream theater"
81,"loreena mckennitt"
81,"era"
81,"in flames"
82,"p.o.d."
82,"chimaira"
82,"arch enemy"
82,"scar symmetry"
82,"slipknot"
82,"red hot chili peppers"
82,"soilwork"
82,"soulfly"
82,"lamb of god"
82,"judas priest"
82,"megadeth"
82,"trivium"
82,"devildriver"
82,"coldplay"
82,"sonic syndicate"
82,"gamma ray"
82,"helloween"
82,"sepultura"
82,"edguy"
82,"nightwish"
82,"ko<U+042F>n"
82,"machine head"
82,"eagles"
82,"lordi"
83,"black eyed peas"
83,"dido"
83,"nelly furtado"
84,"queen"
84,"radiohead"
84,"the beatles"
84,"louis armstrong"
84,"electric light orchestra"
84,"vangelis"
84,"david bowie"
84,"led zeppelin"
84,"hans zimmer"
84,"ennio morricone"
84,"franz ferdinand"
84,"deep purple"
84,"akira yamaoka"
84,"apocalyptica"
84,"muse"
84,"bjork"
84,"charlie parker"
84,"clint mansell"
85,"coheed and cambria"
85,"infected mushroom"
85,"in flames"
85,"36 crazyfists"
85,"underoath"
85,"staind"
85,"jedi mind tricks"
85,"caliban"
85,"muse"
85,"rise against"
85,"deftones"
85,"linkin park"
85,"system of a down"
85,"the used"
85,"fort minor"
85,"30 seconds to mars"
85,"the mars volta"
85,"tool"
85,"kings of leon"
85,"all that remains"
85,"damian marley"
85,"breaking benjamin"
85,"blink-182"
85,"cypress hill"
85,"sonic syndicate"
85,"devildriver"
85,"papa roach"
85,"soilwork"
85,"limp bizkit"
85,"slipknot"
85,"ill nino"
85,"ko<U+042F>n"
86,"anathema"
86,"porcupine tree"
86,"agalloch"
88,"loreena mckennitt"
88,"enya"
88,"peter gabriel"
88,"the beatles"
89,"radiohead"
89,"nine inch nails"
89,"tortoise"
89,"porcupine tree"
91,"vangelis"
91,"kraftwerk"
91,"the beach boys"
91,"enigma"
91,"sade"
92,"armin van buuren"
92,"nickelback"
92,"depeche mode"
92,"enigma"
92,"kosheen"
92,"atb"
92,"fort minor"
92,"infected mushroom"
92,"tarja turunen"
92,"backstreet boys"
92,"era"
92,"nelly furtado"
92,"sting"
92,"a-ha"
92,"3 doors down"
92,"enrique iglesias"
92,"muse"
92,"apocalyptica"
92,"paul oakenfold"
92,"rihanna"
92,"scorpions"
92,"avril lavigne"
92,"epica"
92,"kylie minogue"
92,"the pussycat dolls"
95,"metric"
95,"the dandy warhols"
95,"ratatat"
95,"the postal service"
95,"death from above 1979"
95,"elbow"
95,"pink floyd"
95,"mogwai"
95,"bonobo"
95,"the brian jonestown massacre"
95,"portishead"
95,"bjork"
95,"lou reed"
95,"tosca"
95,"tricky"
95,"supergrass"
95,"the beatles"
95,"santogold"
95,"animal collective"
95,"yann tiersen"
95,"jet"
95,"parov stelar"
95,"sneaker pimps"
96,"the beatles"
96,"jimi hendrix"
96,"frank sinatra"
96,"bob marley & the wailers"
96,"bob marley"
97,"animal collective"
97,"philip glass"
97,"queens of the stone age"
97,"devendra banhart"
97,"the rolling stones"
97,"the brian jonestown massacre"
97,"t. rex"
97,"dinosaur jr."
97,"bob dylan"
97,"sonic youth"
97,"misfits"
97,"the beatles"
97,"the kinks"
97,"johnny cash"
97,"radiohead"
97,"pixies"
97,"the black keys"
97,"tom waits"
97,"ramones"
97,"joy division"
97,"patrick wolf"
97,"the cure"
97,"captain beefheart & his magic band"
97,"mirah"
97,"talking heads"
97,"iggy pop"
97,"the raveonettes"
97,"creedence clearwater revival"
97,"the flaming lips"
97,"armin van buuren"
97,"black rebel motorcycle club"
97,"modest mouse"
97,"the velvet underground"
97,"david bowie"
97,"the smashing pumpkins"
97,"nick cave and the bad seeds"
97,"marilyn manson"
97,"nirvana"
97,"antony and the johnsons"
97,"r.e.m."
98,"digitalism"
98,"hot chip"
98,"justice"
98,"chromeo"
98,"crystal castles"
98,"cansei de ser sexy"
98,"lykke li"
98,"simian mobile disco"
98,"late of the pier"
98,"the kills"
98,"klaxons"
98,"santogold"
98,"boys noize"
98,"phoenix"
98,"mgmt"
98,"architecture in helsinki"
98,"m.i.a."
98,"the whitest boy alive"
98,"justin timberlake"
98,"daft punk"
98,"feist"
99,"guided by voices"
99,"andrew bird"
99,"the national"
99,"iron & wine"
101,"metallica"
101,"ramones"
101,"bob dylan"
101,"neil young"
101,"u2"
101,"the clash"
101,"judas priest"
101,"slipknot"
101,"pink floyd"
101,"the offspring"
101,"the beatles"
101,"hakan hellstrom"
101,"turbonegro"
101,"system of a down"
101,"misfits"
103,"ac/dc"
103,"slowdive"
103,"the smiths"
103,"minor threat"
103,"jimmy eat world"
103,"turbonegro"
103,"bad brains"
103,"foo fighters"
103,"the hives"
106,"t.i."
106,"john legend"
106,"stevie wonder"
106,"alicia keys"
106,"craig david"
106,"james morrison"
106,"chris brown"
